,Type,Item,NumObs,TotCnt,TotMod,AvgCnt,AvgMod,Tstat,AvgErr,PctErr,PctRMSE,MAPE,CorrCoef,SumSqErr,MeanSqErr,Miles,kVMT,kVHT_FF,kVHT_CTime
0,Areawide,All,383,207554.9195732,238696.0780689959,541.9188500605744,623.2273578824959,1.6588372895182917,81.30850782192147,15.003816127236208,56.5753150336449,63.45075829826564,0.9196502893350699,36001554.3274836,93998.83636418695,112.864194760986,65.84783951208871,97.42680619374835,107.66640096383094
1,Freeways,All,9,25915.112399999998,30328.17229478162,2879.456933333333,3369.796921642402,1.0335304434776655,490.3399883090692,17.028905090844304,29.181684815120967,19.36593845281345,0.8646956466499622,6354544.261602122,706060.473511347,5.374999999999999,19.263179931892125,18.911217453327257,20.358357339388945
2,Non-Freeways,All,374,181639.8071732,208367.90577421428,485.66793361818185,557.1334378989686,1.818677532836474,71.46550428078677,14.71489042901706,57.97159097413915,64.51162294695301,0.8832762561600408,29647010.06588148,79270.08039005742,107.48919476098601,46.584659580196586,78.51558874042108,87.30804362444198
3,Urban,All,247,153255.437815,174309.3562098152,620.4673595748989,705.7058955862963,1.404256172675717,85.2385360113974,13.737795340241094,53.80160222882419,68.03483909720283,0.9025397003989063,27524868.420069784,111436.71425129467,46.16856645907733,39.18483004207791,63.14553191036373,70.66766640441026
4,Rural,All,136,54299.4817582,64386.7218591807,399.2608952808824,473.4317783763287,0.9228447171186708,74.1708830954463,18.577046731127187,62.52976768498947,55.125258611960625,0.9466469320020897,8476685.907413822,62328.57284863104,66.69562830190867,26.66300947001081,34.281274283384604,36.99873455942067
5,Interstates,All,6,17763.258,19895.700953509055,2960.543,3315.950158918176,0.7964513656511808,355.4071589181758,12.004796380872557,24.99018107267052,17.953596523622682,0.7051158101968164,3284224.2451813873,547370.7075302312,4.5169999999999995,15.693585957156113,14.806779358293621,16.015428672280738
6,Non-Interstate Freeway,All,3,8151.8544,10432.471341272569,2717.2848,3477.4904470908564,0.5870422760782462,760.2056470908565,27.97666431913418,37.23025708691096,22.190622311194986,0.9975409557569019,3070320.016420735,1023440.0054735783,0.8580000000000001,3.5695939747360135,4.1044380950336325,4.342928667108208
7,Principal Arterial,All,16,22036.142547000003,26160.217265119412,1377.2589091875002,1635.0135790699633,0.8792468803074366,257.7546698824631,18.715048286347464,39.338718350618905,23.039570678098222,0.8687608610460251,4696686.546100092,293542.90913125576,3.2569999999999997,5.621001902289736,8.697009892378482,9.996317875392757
8,Minor Arterial,All,138,91446.3346924,94566.92303682395,662.6545992202899,685.2675582378547,0.3461953943651694,22.612959017564776,3.412480505556323,46.730526319199285,51.359186442251506,0.8397189208316806,13232894.93821365,95890.54303053369,25.04,16.16119907983463,29.238613144030996,33.14853718452018
9,Major Collector,All,144,51317.936568799996,60332.97684465953,356.3745595055555,418.9790058656912,1.2633055532683826,62.60444636013568,17.567035774662177,62.781636171855716,62.628639218786276,0.900672767095676,7208437.523324199,50058.59391197361,51.71700666467267,17.671170796053616,29.215248710679518,32.49849793435491
10,Minor Collector,All,25,3859.85,5830.67157213654,154.394,233.2268628854616,1.8855440226504014,78.8328628854616,51.059537861226204,99.39932848231906,90.03622580120206,0.6797605014742035,588799.926880719,23551.997075228763,15.911188096313332,3.870504443729793,5.524013363487396,5.610551853029717
11,Local Road or Street,All,25,3127.2450000000003,4522.325236477575,125.08980000000001,180.893009459103,1.4851902560271562,55.803209459103,44.61051937016687,108.62930457444334,140.8462461361853,0.6278637592461853,461612.7582259956,18464.510329039822,8.112,1.1125515973662436,2.1580206111202878,2.221757052274044
12,Ramps,All,26,9852.298364999999,16954.791818997262,378.93455249999994,652.1073776537409,2.863498872115726,273.1728251537409,72.08971136347904,96.24937747897808,72.32924139770124,0.9408794086611587,3458578.3731368245,133022.2451206471,3.452,2.148231760922572,3.6826830187244095,3.8323817248703698
13,Urban Interstates,All,2,6370.721,8844.921282048766,3185.3605,4422.460641024383,15.43975446134789,1237.1001410243834,38.837052855536555,38.93949271312923,38.84675552907396,-1.0,3077001.833987832,1538500.916993916,2.145,9.48593976511867,9.48593976511867,10.528574489825045
14,Urban Non-Interstate Freeway,All,3,8151.8544,10432.471341272569,2717.2848,3477.4904470908564,0.5870422760782462,760.2056470908565,27.97666431913418,37.23025708691096,22.190622311194986,0.9975409557569019,3070320.016420735,1023440.0054735783,0.8580000000000001,3.5695939747360135,4.1044380950336325,4.342928667108208
15,Urban Principal Arterial,All,14,17317.949388,20082.95368465407,1236.9963848571429,1434.496691761005,0.7662044608412393,197.5003069038621,15.96611835908242,31.637562813770618,20.953519218947918,0.8859460575536369,2144227.8738718173,153159.13384798696,2.8179999999999996,4.041819636331797,6.801824155960256,7.937726476801869
16,Urban Minor Arterial,All,120,85767.170602,87616.61649963056,714.7264216833333,730.1384708302546,0.21373480472116524,15.412049146921277,2.156356429446474,45.93840641457347,53.97664323350738,0.829702759420652,12936380.220313106,107803.16850260922,19.467,14.044354197865523,26.4748329600308,30.32707019020241
17,Urban Major Collector,All,76,25983.579999999994,29857.718074645712,341.8892105263157,392.8647115084962,1.098402960798722,50.975500982180506,14.90994726148483,57.40402658111729,74.63441929617633,0.7816426843976279,2927312.564272906,38517.270582538236,15.62256645907733,5.53875842015638,11.770066104318737,12.825706884087353
18,Urban Minor Collector,All,1,275.85,671.2115354348027,275.85,671.2115354348027,,395.3615354348027,143.32482705629968,143.32482705629968,143.32482705629968,0.0,156310.74370136476,156310.74370136476,0.45199999999999996,0.3033876140165308,0.45508142102479626,0.469897746824359
19,Urban Local Road or Street,All,16,2209.17,3962.92953665365,138.073125,247.68309604085312,2.335647152569496,109.60997104085311,79.38544958756681,115.80461101368243,182.0495165918618,0.6874805646903239,409062.80828966515,25566.42551810407,3.142,0.767446253005792,1.5958690988530617,1.654644660288267
20,Urban Ramps,All,15,7179.142425,12840.534255475053,478.609495,856.0356170316702,3.4188963084220547,377.4261220316702,78.8588872503815,90.34031639128574,77.43069752638131,0.913997295000141,2804252.359212355,186950.15728082368,1.6639999999999997,1.4335301808472016,2.457480310023773,2.5811172892727545
21,Rural Interstates,All,4,11392.537,11050.779671460288,2848.13425,2762.694917865072,-0.2024966280767934,-85.43933213492801,-2.999835142424484,7.991492741025765,7.507017020897039,0.9177020489528626,207222.41119355554,51805.602798388885,2.372,6.207646192037442,5.320839593174951,5.486854182455695
22,Rural Non-Interstate Freeway,All,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Rural Principal Arterial,All,2,4718.193159,6077.2635804653455,2359.0965795,3038.6317902326728,0.711127525327323,679.5352107326726,28.804891526598585,47.88711140141275,37.64193089215042,1.0,2552458.6722282753,1276229.3361141377,0.4389999999999999,1.579182265957938,1.8951857364182254,2.0585913985908904
24,Rural Minor Arterial,All,18,5679.1640904,6950.306537193389,315.5091161333333,386.12814095518826,0.8595875976604885,70.61902482185496,22.382562408121213,40.679439740253656,33.90947450054571,0.9251805559846018,296514.71790054446,16473.03988336358,5.5729999999999995,2.1168448819691066,2.763780184000191,2.821466994317775
25,Rural Major Collector,All,68,25334.356568799998,30475.258770013814,372.56406718823524,448.165570147262,0.826181982960519,75.60150295902673,20.292215384483022,67.3478180315287,49.210414426409166,0.9464589020018942,4281124.959051291,62957.7199860484,36.09444020559534,12.132412375897234,17.445182606360778,19.672791050267563
26,Rural Minor Collector,All,24,3583.9999999999995,5159.4600367017365,149.33333333333331,214.97750152923902,1.6892124513144149,65.6441681959057,43.95814834547257,89.89286969485144,87.815867415573,0.6649143875030148,432489.18317935435,18020.382632473098,15.459188096313333,3.5671168297132625,5.0689319424626,5.140654106205357
27,Rural Local Road or Street,All,9,918.075,559.3956998239252,102.00833333333334,62.155077758213906,-1.0072098231849844,-39.853255575119434,-39.06862730997739,74.90818022417422,67.59598754831599,0.7249191031031414,52549.94993633045,5838.883326258939,4.97,0.3451053443604513,0.5621515122672263,0.5671123919857769
28,Rural Ramps,All,11,2673.15594,4114.257563522206,243.01417636363638,374.02341486565507,1.1109827484381714,131.0092385020187,53.910121813626986,100.36196173030842,65.37271031313756,0.9187388164348979,654326.0139244691,59484.18308404265,1.788,0.7147015800753709,1.2252027087006359,1.2512644355976157
29,AADT < 5k,FSUTMS RMSE,275,71466.0378112,88965.91687388995,259.87650113163636,323.51242499596344,3.43286636492883,63.63592386432708,24.48698654446379,77.4657640007473,76.12866874233306,0.6463043266114303,11145160.642819922,40527.856882981534,90.07819476098601,23.436062436756252,39.32129414948697,40.84028770035386
30,AADT 5k to 10k,FSUTMS RMSE,71,61497.838245,63068.015043288004,866.1667358450704,888.2819020181408,0.4433104288102205,22.115166173070406,2.55322275237156,40.223319933314464,33.663797498067424,0.3254651600416745,8618212.089490535,121383.26886606387,11.414000000000001,10.984646150616275,20.493468162225835,23.16053904151745
31,AADT 10k to 15k,FSUTMS RMSE,20,28593.244218000003,32325.474072594883,1429.6622109000002,1616.2737036297442,1.287659460053809,186.611492729744,13.052838027541373,33.2349384966254,26.812226120247534,0.6960026466914934,4515300.207818863,225765.01039094315,4.599,7.74536121657687,12.381009568569873,16.135296512741906
32,AADT 15k to 20k,FSUTMS RMSE,5,10480.717992000002,13331.454564322463,2096.1435984000004,2666.2909128644924,3.067531898923864,570.147314464492,27.19982137195605,33.369276368047935,32.58295919886377,-0.20527025678617294,2446277.068332458,489255.4136664916,0.887,2.3811684652376437,3.6104229292276715,4.180043531567587
33,AADT 20k to 30k,FSUTMS RMSE,7,18584.852307,20235.52080256935,2654.978901,2890.7886860813355,0.8658097594512081,235.80978508133558,8.881795067844706,26.314263264404794,20.702755721169243,0.034766903897063245,3416666.7313946304,488095.24734209006,2.481,6.74153999492452,7.215832915082944,7.689842617697337
34,AADT 30k to 50k,FSUTMS RMSE,5,16932.229,20769.69671233124,3386.4458,4153.939342466248,1.7262248940335478,767.4935424662476,22.663688946867172,31.968139667317978,26.409658656781875,0.5132993648535956,5859937.587627195,1171987.517525439,3.4050000000000002,14.559061247977159,14.404778469155053,15.660391559952792
35,AADT 50k to 60k,FSUTMS RMSE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,AADT > 60k,FSUTMS RMSE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,AADT < 10k,FSUTMS Pct Error,346,132963.8760562,152033.93191717795,384.28865912196534,439.40442750629467,2.1700394916973207,55.11576838432933,14.342283352899237,62.1920558466843,67.41477897833636,0.7631017341268301,19763372.732310455,57119.574370839466,101.492194760986,34.42070858737252,59.8147623117128,64.00082674187131
38,AADT 10k to 30k,FSUTMS Pct Error,32,57658.814517,65892.44943948669,1801.83795365625,2059.139044983959,1.462775714219715,257.3010913277092,14.279924052304452,31.60612249316943,26.37745651398295,0.7702307596793752,10378244.007545952,324320.125235811,7.966999999999999,16.868069676739033,23.207265412880485,28.00518266200683
39,AADT 30k to 50k,FSUTMS Pct Error,5,16932.229,20769.69671233124,3386.4458,4153.939342466248,1.7262248940335478,767.4935424662476,22.663688946867172,31.968139667317978,26.409658656781875,0.5132993648535956,5859937.587627195,1171987.517525439,3.4050000000000002,14.559061247977159,14.404778469155053,15.660391559952792
40,AADT 50k to 65k,FSUTMS Pct Error,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,AADT 65k to 75k,FSUTMS Pct Error,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,AADT > 75k,FSUTMS Pct Error,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Freeways,FSUTMS Pct Error,9,25915.112399999998,30328.17229478162,2879.456933333333,3369.796921642402,1.0335304434776655,490.3399883090692,17.028905090844304,29.181684815120967,19.36593845281345,0.8646956466499622,6354544.261602122,706060.473511347,5.374999999999999,19.263179931892125,18.911217453327257,20.358357339388945
44,Arterials,FSUTMS Pct Error,154,113482.4772394,120727.14030194335,736.8992028532467,783.9424694931387,0.6549974133695439,47.043266639891954,6.383948640158946,46.30379951101562,48.416888700521305,0.8657655533056074,17929581.48431374,116425.85379424508,28.297,21.782200982124365,37.93562303640948,43.144855059912935
