,Type,Item,NumObs,TotCnt,TotMod,AvgCnt,AvgMod,Tstat,AvgErr,PctErr,PctRMSE,MAPE,CorrCoef,SumSqErr,MeanSqErr,Miles,kVMT,kVHT_FF,kVHT_CTime
0,Areawide,All,385,1769218.156736,2020657.0137556265,4595.371835677922,5248.45977598864,1.5769560859960308,653.0879403107183,14.211862797265304,49.08213626877174,54.32702519886625,0.93827526358505,1958614474.1140685,5087310.322374204,113.81619476098601,558.8600483634032,826.3515703049603,919.0898372608779
1,Freeways,All,9,234867.3111,257714.9167718794,26096.367899999997,28634.990752431044,0.6079480103455205,2538.6228524310463,9.727878079274957,17.27859219137941,10.661281743158328,0.9518425790583006,182986626.7152152,20331847.41280169,5.374999999999999,166.9799503161048,162.8763689033105,175.3517110165186
2,Non-Freeways,All,376,1534350.845636,1762942.096983747,4080.720334138298,4688.675789850391,1.8764422835110135,607.9554557120932,14.898238691490032,53.25313984524658,55.372215866689025,0.9006007646536711,1775627847.3988535,4722414.487762908,108.44119476098601,391.88009804729836,663.47520140165,743.7381262443591
3,Urban,All,247,1304617.751631,1473017.557459357,5281.853245469636,5963.633835867842,1.3302473289597418,681.7805903982062,12.907980565022037,46.25134469747474,56.10945237955279,0.923883221853201,1474070793.8563697,5967897.950835505,46.16856645907733,331.4920172940698,535.7093572109007,605.3313942550585
4,Rural,All,138,464600.405105,547639.4562962695,3366.669602210145,3968.4018572193445,0.8860820728505265,601.7322550091994,17.873219712863282,55.65784997856364,51.13673886821714,0.9601709886591574,484543680.25769895,3511186.0888239057,67.64762830190867,227.36803106933337,290.6422130940596,313.7584430058193
5,Interstates,All,6,166779.66,178153.49969361373,27796.61,29692.249948935623,0.4733356588542703,1895.6399489356227,6.819680345681084,12.698438249767761,7.6570217211001905,0.9368677472757572,74754190.1164222,12459031.686070368,4.5169999999999995,139.46984710379053,131.37852273306774,142.01307388923829
6,Non-Interstate Freeway,All,3,68087.6511,79561.41707826564,22695.883700000002,26520.47235942188,0.3535532897505227,3824.588659421879,16.85146394816025,26.46494483921886,16.6698017872746,0.9958116467931318,108232436.59879299,36077478.86626433,0.8580000000000001,27.51010321231425,31.49784617024276,33.338637127280286
7,Principal Arterial,All,16,195095.02525,218313.43278097984,12193.439078125,13644.58954881124,0.6002309289671955,1451.1504706862397,11.901076155697535,26.028272177550793,17.72960129230745,0.9241919769714917,161162162.8642254,10072635.179014087,3.2569999999999997,46.27823479366581,72.42804077805809,84.44634012565133
8,Minor Arterial,All,139,749258.5644670001,806593.5119084481,5390.349384654677,5802.831020924087,0.7662438699627847,412.48163626941005,7.652224500394513,45.31731553103557,43.92694222331029,0.8587099532644644,829424734.9819968,5967084.424330912,25.644,138.21945828740735,250.6387107038857,287.63681833550413
9,Major Collector,All,145,440657.99789,509674.1268753918,3039.0206751034484,3514.993978450978,1.1851741705386807,475.9733033475295,15.662062033563735,63.73659037988624,51.90556797658713,0.8966405175219914,544017619.242923,3751845.6499511935,52.065006664672666,147.4801762571866,244.60004005483023,273.2390958127446
