,Type,Item,NumObs,TotCnt,TotMod,AvgCnt,AvgMod,Tstat,AvgErr,PctErr,PctRMSE,MAPE,CorrCoef,SumSqErr,MeanSqErr,Miles,kVMT,kVHT_FF,kVHT_CTime
0,Areawide,All,383,1128465.2256647001,1284842.1769893095,2946.3844012133163,3354.6793132880143,1.4967272424260463,408.294912074698,13.857489603412333,50.29346702664515,56.99610081399516,0.9368218430755104,841009182.1722469,2195846.4286481645,112.864194760986,355.6870761889979,523.6660977471203,583.426070999836
1,Freeways,All,9,156875.63700000002,166736.5486262937,17430.626333333334,18526.283180699298,0.39158671213074425,1095.6568473659645,6.2858145565928,14.776927612022085,10.245814853230982,0.955139155463474,59708586.05014557,6634287.3389050625,5.374999999999999,108.67972538766602,105.85778820926663,113.97094713959122
2,Non-Freeways,All,374,971589.5886646999,1118105.6283630158,2597.8331247719248,2989.5872416123416,1.848052999318134,391.7541168404168,15.080033936930057,55.63678505925558,58.12110769540393,0.8980672687268515,781300596.1221013,2089039.027064442,107.48919476098601,247.00735080133185,417.8083095378536,469.455123860245
3,Urban,All,247,832757.7846816999,937534.7218659845,3371.489006808502,3795.687133060666,1.2653591819931982,424.198126252164,12.5819222721926,47.18054442746448,58.46269525066477,0.9234676421308496,624980324.440036,2530284.71433213,46.16856645907733,212.12143478800817,340.9279202347299,385.59445160394716
4,Rural,All,136,295707.440983,347307.4551233251,2174.319418992647,2553.731287671508,0.834236047531305,379.4118686788611,17.449684042036516,57.96463238238705,54.33250650622021,0.9567584357880445,216028857.73221108,1588447.4833250814,66.69562830190867,143.5656414009898,182.73817751239034,197.83161939588902
5,Interstates,All,6,112177.86,116494.5814737522,18696.31,19415.7635789587,0.26989555598794834,719.4535789586989,3.8481046739099796,10.541049785491811,7.126475961466426,0.9411053398888614,23304016.558817577,3884002.7598029296,4.5169999999999995,91.18206955446384,85.89065291871928,92.84437154316517
6,Non-Interstate Freeway,All,3,44697.777,50241.96715254149,14899.259,16747.322384180497,0.25818221866086233,1848.0633841804975,12.403726817424259,23.380438532459497,16.4844926367601,0.9958948464655559,36404569.49132799,12134856.497109331,0.8580000000000001,17.49765583320218,19.967135290547347,21.126575596426026
7,Principal Arterial,All,16,127084.07799300001,141480.03616506327,7942.754874562501,8842.502260316454,0.5700782186107308,899.7473857539535,11.327900709053582,24.601170597073843,17.082170221849836,0.9345455058377189,61090523.60068172,3818157.7250426076,3.2569999999999997,29.901917571218835,46.86085349182643,54.78835214653224
8,Minor Arterial,All,138,469772.72022799996,510566.0751944976,3404.15014657971,3699.7541680760696,0.8405713055338521,295.60402149635956,8.68363640755873,48.35875474054629,46.39617101358647,0.8509539827549927,373978572.00015587,2709989.6521750423,25.04,86.98720193915253,157.82775237572386,181.35466159616598
9,Major Collector,All,144,278077.520775,319972.0609248346,1931.0938942708333,2222.028200866907,1.0972450596949705,290.9343065960736,15.065777353406643,67.7939481867012,55.04915212462349,0.8927446495551731,246803393.97495145,1713912.458159385,51.71700666467267,92.26367553979085,152.59663157070398,171.13203141173688
10,Minor Collector,All,25,20058.13,29934.989264073774,802.3252,1197.3995705629509,1.8079063478925175,395.0743705629509,49.241176839883735,106.47621226677464,91.6539091471042,0.570687436605185,18245092.16254579,729803.6865018315,15.911188096313332,20.080711112953807,28.680505674952382,29.138293043440672
11,Local Road or Street,All,25,18887.395,24785.346768732343,755.4958,991.4138707492937,1.0669466311513116,235.91807074929363,31.22692022236174,98.39922134307851,127.83872478926726,0.6113391289113057,13816162.763207482,552646.5105282993,8.112,6.062789100086362,11.766471216424987,12.147771535575872
12,Ramps,All,26,57709.7446687,91367.12004581426,2219.6055641807693,3514.1200017620868,2.6320320492789158,1294.5144375813175,58.32182341185956,72.5204761239419,63.34285385774889,0.9606900816299128,67366851.6205591,2591032.7546368884,3.452,11.711055538129484,20.07609520822197,20.894014126793355
13,Urban Interstates,All,2,44049.020000000004,50480.344609708685,22024.510000000002,25240.172304854343,4.7217272952815845,3215.6623048543406,14.600380688852285,14.774347610959673,14.584422560870603,1.0000000000000002,21176741.314807158,10588370.657403579,2.145,54.14215310425186,54.14215310425186,60.10486158905097
