,Type,Item,NumObs,TotCnt,TotMod,AvgCnt,AvgMod,Tstat,AvgErr,PctErr,PctRMSE,MAPE,CorrCoef,SumSqErr,MeanSqErr,Miles,kVMT,kVHT_FF,kVHT_CTime
0,Areawide,All,383,427797.0252077,491488.911970756,1116.9635122916447,1283.260866764376,1.7417224247326817,166.29735447273129,14.888342604096652,48.30787771236904,54.32718908745541,0.9320381279282379,111509704.01997629,291148.0522714786,112.864194760986,134.7095192465377,201.79987330290047,224.50079702722377
1,Freeways,All,9,52076.5707,60650.19585080407,5786.285633333333,6738.910650089341,1.0174311124260638,952.6250167560083,16.4634979522645,21.387956796920285,15.343676493227566,0.9512473260389162,13784177.037467133,1531575.226385237,5.374999999999999,39.03704499654661,38.1073632407166,41.022406537538444
2,Non-Freeways,All,374,375720.4545077,430838.7161199519,1004.6001457425134,1151.9751767913153,1.9517822320966296,147.37503104880193,14.67001887998683,50.883265223167875,55.26529500549832,0.8918190080043322,97725526.98250917,261298.20048799244,107.48919476098601,95.6724742499911,163.6925100621838,183.47839048968532
3,Urban,All,247,318604.5380357,361173.47938355734,1289.8969151242914,1462.24080722088,1.457454544241593,172.34389209658866,13.361059327751166,46.15277901148164,54.80473879699226,0.9114835010823343,87539220.36139664,354409.7990339945,46.16856645907733,80.18575246398373,131.63590506580715,149.06927624670107
4,Rural,All,136,109192.487172,130315.43258719865,802.8859350882352,958.2017101999901,1.0021171058106921,155.31577511175487,19.34468749844099,52.28957286858085,53.45987454145832,0.9665258577067358,23970483.65857965,176253.55631308566,66.69562830190867,54.52376678255397,70.16396823709327,75.43152078052267
5,Interstates,All,6,36838.551,41763.21726635248,6139.7585,6960.5362110587475,0.8754312942358504,820.7777110587476,13.36824096678636,16.638659232107646,13.131774952862193,0.93911389840633,6261674.427859262,1043612.4046432102,4.5169999999999995,32.59419159217055,30.68109045605482,33.15327367379239
6,Non-Interstate Freeway,All,3,15238.0197,18886.97858445159,5079.3399,6295.65952815053,0.5138686382014015,1216.3196281505298,23.94641138606475,31.17548870624746,19.767479573958312,0.99448137600355,7522502.609607871,2507500.8698692904,0.8580000000000001,6.442853404376059,7.4262727846617835,7.869132863746054
7,Principal Arterial,All,16,45974.801606,50673.17935079717,2873.425100375,3167.073709424823,0.5304006498654643,293.6486090498229,10.219462794123288,25.732565643478814,21.436836806389575,0.9047653709769203,8747539.729402954,546721.2330876846,3.2569999999999997,10.755315320157248,16.87017739385317,19.661670103726333
8,Minor Arterial,All,138,185594.51742500003,198896.34666566475,1344.8878074275365,1441.277874388875,0.7589034300021055,96.39006696133856,7.1671455737048255,43.379609742837616,42.684499317779775,0.8503535497217971,46970207.6741495,340363.823725721,25.04,33.52230039349728,61.71383693422332,71.26555738730849
9,Major Collector,All,144,108306.54048,126303.40939079432,752.1287533333333,877.1070096582939,1.3718156840097944,124.97825632496063,16.616603975193588,59.40415747332916,52.17450797362964,0.8816041054989273,28746207.554882765,199626.44135335254,51.71700666467267,36.47847338048616,61.18787496216279,67.98006036417542
10,Minor Collector,All,25,8203.039999999999,12362.248628682108,328.12159999999994,494.4899451472843,1.9488463082793315,166.36834514728434,50.70325914151472,100.7652699822743,95.28253336396698,0.5979932028250736,2732948.170896179,109317.92683584716,15.911188096313332,8.120118159298364,11.620193487459968,11.807709622209265
11,Local Road or Street,All,25,7189.915,10365.388037411212,287.5966,414.6155214964485,1.4956186122151225,127.01892149644846,44.16565477354337,101.53508755338187,116.25216302446839,0.6409048460169097,2131767.313597089,85270.69254388356,8.112,2.6500689952390597,5.1926592822337625,5.370244050780485
12,Ramps,All,26,20451.6399967,32238.14404660237,786.6015383346154,1239.9286171770143,2.678038211682969,453.3270788423989,57.631094874563594,72.24651477740909,62.85667228411449,0.9379020300576364,8396856.539580662,322956.0207531024,3.452,4.146198001312983,7.107768002250827,7.393148961485337
13,Urban Interstates,All,2,14886.92,17904.031786400374,7443.46,8952.015893200187,4.52773854526911,1508.5558932001868,20.266863705859734,21.113008713662197,20.542722712120128,-1.0,4939465.6238323115,2469732.8119161557,2.145,19.202483639360477,19.202483639360477,21.316232511032258
14,Urban Non-Interstate Freeway,All,3,15238.0197,18886.97858445159,5079.3399,6295.65952815053,0.5138686382014015,1216.3196281505298,23.94641138606475,31.17548870624746,19.767479573958312,0.99448137600355,7522502.609607871,2507500.8698692904,0.8580000000000001,6.442853404376059,7.4262727846617835,7.869132863746054
15,Urban Principal Arterial,All,14,36031.913259,39086.19200329538,2573.7080899285716,2791.8708573782415,0.4448804856976328,218.1627674496699,8.476593297560976,26.513406715331406,22.33749310710989,0.8663412655050056,6518950.433129291,465639.3166520922,2.8179999999999996,7.885466050921954,13.365253635620274,15.793501844979772
16,Urban Minor Arterial,All,120,173490.52411,185227.5971765237,1445.7543675833333,1543.5633098043643,0.6989281951584858,97.80894222103097,6.765253103438629,42.96364938941839,44.76457382499335,0.8386739805842854,46299105.402399,385825.878353325,19.467,29.214496300149406,56.114406323333434,65.55366316293119
17,Urban Major Collector,All,76,57605.245,65655.6435202908,757.96375,863.8900463196159,1.1398865143155503,105.92629631961586,13.975113759677276,54.912910250662534,58.05746669366755,0.7591248178874471,13166167.793642428,173239.04991634772,15.62256645907733,12.315723105486091,26.198023242387293,28.7769299024434
18,Urban Minor Collector,All,1,517.05,1260.8426578588983,517.05,1260.8426578588983,,743.7926578588983,143.85313951434065,143.85313951434065,143.85313951434065,0.0,553227.5178848042,553227.5178848042,0.45199999999999996,0.5699008813522219,0.854851322028333,0.885473290526065
19,Urban Local Road or Street,All,16,5030.535,8563.26896884398,314.4084375,535.2043105527488,2.047953855117941,220.7958730527488,70.22581035305352,111.72363753887363,146.79100268791197,0.5992125787510941,1974233.4299920364,123389.58937450228,3.142,1.6843317152755726,3.5537614891665124,3.7098440383328968
20,Urban Ramps,All,15,15804.3309667,24588.924685892613,1053.6220644466666,1639.2616457261743,2.980549975187048,585.6395812795076,55.58345834253855,62.79219295655102,56.46881233150456,0.9217158841861723,6565567.550908901,437704.5033939267,1.6639999999999997,2.870497367061951,4.920852629249059,5.16449863270944
21,Rural Interstates,All,4,21951.630999999998,23859.18547995211,5487.907749999999,5964.796369988027,0.5460658186488362,476.88861998802804,8.689807513401226,10.476427797872146,9.426301073233226,0.9587444872181703,1322208.8040269506,330552.20100673765,2.372,13.39170795281007,11.478606816694343,11.837041162760135
22,Rural Non-Interstate Freeway,All,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Rural Principal Arterial,All,2,9942.888347,11586.987347501788,4971.4441735,5793.493673750894,0.5836172529088459,822.0495002508942,16.535426559404655,21.233298024316483,15.132242701347403,1.0000000000000002,2228589.296273663,1114294.6481368316,0.4389999999999999,2.8698492692352926,3.504923758232895,3.8681682587465636
24,Rural Minor Arterial,All,18,12103.993315,13668.749489141044,672.4440730555556,759.3749716189469,0.6032223450319658,86.93089856339134,12.927602762320628,28.714544528473702,28.817335936355953,0.9205744061142392,671102.2717505125,37283.45954169514,5.5729999999999995,4.307804093347871,5.599430610889893,5.711894224377292
25,Rural Major Collector,All,68,50701.29548,60647.76587050351,745.6072864705883,891.8789098603456,0.8951216697556892,146.27162338975734,19.617783522764334,64.19773133985036,45.59943646299904,0.9389914504007282,15580039.76124034,229118.23178294618,36.09444020559534,24.162750275000068,34.9898517197755,39.203130461732016
26,Rural Minor Collector,All,24,7685.99,11101.405970823209,320.2495833333333,462.5585821176337,1.7326814380406217,142.3089987843004,44.436903649669205,94.10359726527996,93.25875810770142,0.5886368065874293,2179720.6530113746,90821.69387547394,15.459188096313333,7.550217277946143,10.765342165431635,10.922236331683198
