,Type,Item,NumObs,TotCnt,TotMod,AvgCnt,AvgMod,Tstat,AvgErr,PctErr,PctRMSE,MAPE,CorrCoef,SumSqErr,MeanSqErr,Miles,kVMT,kVHT_FF,kVHT_CTime
0,Areawide,All,383,152160.96382200002,172638.6161176323,397.2871118067886,450.75356688676845,1.6210186721916413,53.46645507997988,13.457888134559486,45.739680576642016,54.319695252532775,0.932826219724342,12647188.217310797,33021.37915746945,112.864194760986,46.917187427662206,70.72255181711117,78.61787526669909
1,Freeways,All,9,17732.5642,20600.656127341397,1970.2849111111111,2288.961791926822,0.9708161813564712,318.676880815711,16.1741522263396,20.013416374047914,14.979865583652796,0.9733197976893689,1399403.7520637144,155489.30578485716,5.374999999999999,13.31968456032949,13.001557948903466,13.999074891250558
2,Non-Freeways,All,374,134428.399622,152037.95999029092,359.4342235882353,406.5186095997083,1.781372612285689,47.08438601147304,13.09958343460708,48.2478833598842,55.26637564563417,0.8952072904877821,11247784.465247083,30074.290014029633,107.48919476098601,33.5975028673327,57.7209938682077,64.61880037544853
3,Urban,All,247,112924.62529170001,127733.10633228353,457.184717780162,517.1380823169374,1.4592586622377113,59.95336453677538,13.113597678390478,44.80179718583588,57.06697088501983,0.9110602627141637,10362659.649406541,41954.0876494192,46.16856645907733,28.119312024681427,46.46015333553686,52.56172224648441
4,Rural,All,136,39236.3385303,44905.50978534879,288.50248919338236,330.187571951094,0.7906047469885734,41.685082757711655,14.44877750422814,44.92408888488978,49.33015789058938,0.9708015972062269,2284528.5679042563,16798.00417576659,66.69562830190867,18.79787540298077,24.262398481574298,26.056153020214683
5,Interstates,All,6,12457.012,14236.992070890028,2076.168666666667,2372.8320118150045,0.8914413666915,296.6633451483376,14.288980944146362,16.648283038645587,13.998534424206513,0.9653715151889859,716828.752260358,119471.45871005965,4.5169999999999995,11.142797909360475,10.495915303522938,11.34486216672333
6,Non-Interstate Freeway,All,3,5275.5522,6363.664056451369,1758.5174,2121.2213521504564,0.4383807391470551,362.7039521504564,20.625553784708437,27.12488412345226,16.94252790254536,0.9943084486157766,682574.9998033564,227524.99993445212,0.8580000000000001,2.176886650969016,2.50564264538053,2.654212724527231
7,Principal Arterial,All,16,16125.015126999999,17487.85929773788,1007.8134454374999,1092.9912061086175,0.44346691491243034,85.17776067111754,8.451738866625378,24.84943525708946,33.80942679267754,0.8999070490754082,1003490.6379232386,62718.16487020241,3.2569999999999997,3.716324001384621,5.849506539925318,6.8131108826731
8,Minor Arterial,All,138,66157.21416830001,70859.58214848282,479.40010266884065,513.4752329600204,0.7650681391466452,34.07513029117979,7.107868792994014,42.34435071974019,41.34286179683983,0.8526402954278336,5686778.174475934,41208.53749620242,25.04,11.82946125277519,21.89520898995699,25.259885768674565
9,Major Collector,All,144,39111.623725,44478.04090437434,271.60849809027775,308.87528405815516,1.1618652059957093,37.26678596787741,13.720773182689816,53.16506028661429,53.02394231634342,0.8888545354827462,3002630.014514572,20851.59732301786,51.71700666467267,12.820769590226895,21.591018820355348,23.934537626895718
