,Statistics
Population,"163,664"
Total Employment,"85,076"
Housing Units (HU),"65,162"
Person Trips (PrT),"728,184"
Vehicle Trips (PrT),"436,531"
Daily VMT,"3,982,717"
Daily Per Capita VMT,24.33
Daily VMT Per HU,61.12
AM VMT,"470,723"
AM VMT Per HU,7.22
PM VMT,"945,594"
PM VMT Per HU,14.51
OP VMT,"2,566,401"
OP VMT Per HU,39.38
PM Peak Hr VMT,"325,454"
PM Peak Hr VMT Per HU,4.99
Daily VHT,"89,476"
Daily Per Capita VHT,0.55
Daily VHT Per HU,1.37
AM VHT,"10,630"
AM VHT Per HU,0.16
PM VHT,"22,036"
PM VHT Per HU,0.34
OP VHT,"56,809"
OP VHT Per HU,0.87
PM Peak Hr VHT,"7,689"
PM Peak Hr VHT Per HU,0.12
Daily VHD,"5,216"
Daily Per Capita VHD,0.03
Daily VHD Per HU,0.08
AM VHD,633
AM VHD Per HU,0.01
PM VHD,"1,842"
PM VHD Per HU,0.03
OP VHD,"2,741"
OP VHD Per HU,0.04
PM Peak Hr VHD,696
PM Peak Hr VHD Per HU,0.01
