,Type,Item,NumObs,TotCnt,TotMod,AvgCnt,AvgMod,Tstat,AvgErr,PctErr,PctRMSE,MAPE,CorrCoef,SumSqErr,MeanSqErr,Miles,kVMT,kVHT_FF,kVHT_CTime
0,Areawide,All,385,1769218.156736,2006520.0566354836,4595.371835677922,5225.312647488238,1.522938677320559,629.9408118103165,13.708157562344157,49.2982685028341,54.717234669106176,0.9344827299064125,1970769681.8067813,5132212.713038493,113.07219476098601,556.1652516944677,819.5625274325807,908.3832049246198
1,Freeways,All,9,234867.3111,257900.14593542376,26096.367899999997,28655.57177060264,0.6108874383501778,2559.2038706026433,9.806743530016847,17.414862601573667,10.793720345468719,0.9524130580262591,185884315.59778327,20653812.84419814,5.374999999999999,167.31624136928642,163.2000962334322,175.8629630004597
2,Non-Freeways,All,375,1533880.595636,1748619.91070006,4090.3482550293334,4662.986428533493,1.7711396926747722,572.63817350416,13.999741288533716,53.33708108359463,55.77139901287348,0.8968965216743294,1784885366.2089984,4759694.309890662,107.69719476098601,388.84901032518115,656.3624311991485,732.52024192416
3,Urban,All,246,1304147.501631,1459908.1746492297,5301.412608256098,5934.586075809877,1.2348903818099501,633.1734675537791,11.94348590350642,46.3960687593546,56.85040305758283,0.9208818518459151,1488266434.8212605,6049863.556183985,45.424566459077326,329.6975580298088,530.1824690484053,596.9423397682165
4,Rural,All,138,464600.405105,546611.8819862539,3366.669602210145,3960.955666567057,0.8750663575411655,594.286064356912,17.652045925943433,55.54053760417228,50.91463015051737,0.9602849202477804,482503246.98552084,3496400.3404747886,67.64762830190867,226.46769366465878,289.38005838417536,311.4408651564033
5,Interstates,All,6,166779.66,178510.6712741506,27796.61,29751.778545691766,0.4851157449951096,1955.1685456917658,7.033838103609633,13.033137800624063,7.838932758173929,0.9355366417656115,78746795.93070652,13124465.988451086,4.5169999999999995,139.85259949499667,131.7612751242721,142.59562047147102
6,Non-Interstate Freeway,All,3,68087.6511,79389.47466127318,22695.883700000002,26463.158220424393,0.34812050745694717,3767.274520424391,16.598932961682348,26.330740273093934,16.703295520058294,0.9957846840718296,107137519.66707675,35712506.55569225,0.8580000000000001,27.463641874289753,31.438821109160102,33.26734252898872
7,Principal Arterial,All,16,195095.02525,222083.30886983604,12193.439078125,13880.206804364752,0.7115962274006021,1686.767726239752,13.83340430400648,28.200302349345378,22.168613010959596,0.9032480532094017,189182054.44380474,11823878.402737796,3.2569999999999997,47.92051501817022,75.17739033477712,88.59694245898092
8,Minor Arterial,All,139,749258.5644670001,796088.7294612776,5390.349384654677,5727.257046484012,0.6323157107875885,336.90766182933476,6.250200827212578,45.29634362783559,46.54802763339841,0.8530353023125309,828657231.8711722,5961562.819217066,25.644,137.0543605219283,247.80875742187317,280.7304018883762
9,Major Collector,All,144,440187.74789,503381.8117124358,3056.8593603472223,3495.707025780804,1.0881622991704356,438.8476654335818,14.356161461865032,62.732633483561585,49.76112788600282,0.8987842313440471,529542043.7874895,3677375.304079788,51.321006664672666,144.948147101366,238.96594678794312,266.242179948817
