,Type,Item,NumObs,TotCnt,TotMod,AvgCnt,AvgMod,Tstat,AvgErr,PctErr,PctRMSE,MAPE,CorrCoef,SumSqErr,MeanSqErr,Miles,kVMT,kVHT_FF,kVHT_CTime
0,Areawide,All,383,1128465.2256647001,1277370.8019439625,2946.3844012133163,3343.9026228899543,1.4593628060515325,397.51822167663795,13.491729779486361,50.48141730195086,57.37775735117522,0.9332485291373186,845094460.950617,2212289.164792191,112.120194760986,353.98732238788796,519.7998812914291,577.1647094658259
1,Freeways,All,9,156875.63700000002,166954.3112663805,17430.626333333334,18550.479029597835,0.40052927630028456,1119.852696264501,6.4246268312399,14.81670559423492,10.166875990977795,0.9549852660861783,60030477.566758186,6670053.062973131,5.374999999999999,108.84705951729565,106.0380179497192,114.27107871974414
2,Non-Freeways,All,373,971295.5636646999,1110416.4906775819,2604.0095540608577,2976.987910663758,1.7635670353864294,372.9783566029005,14.323233031970037,55.71287079788582,58.5168938987403,0.8943399953142638,785063983.3838589,2104729.177972812,106.74519476098601,245.14026287059238,413.76186334170995,462.89363074608184
3,Urban,All,246,832463.7596817,930512.0539994971,3383.9990230963417,3782.569325201208,1.1896795474695323,398.5703021048662,11.778085613635207,47.1622147329231,59.35532548804736,0.9209468812894454,626590704.3983462,2547116.684546123,45.424566459077326,211.10296877937122,338.01693825650227,380.93881001435193
4,Rural,All,136,295707.440983,346858.74794446526,2174.319418992647,2550.431970179892,0.8260177954837875,376.11255118724466,17.29794380264037,58.29571793021633,53.80068557418588,0.9563975835971292,218503756.55227074,1606645.2687666966,66.69562830190867,142.8843536085168,181.7829430349268,196.22589945147402
5,Interstates,All,6,112177.86,116651.58615188887,18696.31,19441.93102531481,0.2786085694397819,745.6210253148092,3.9880651599957915,10.74585036191782,7.245937241104179,0.9401774611537803,24218354.304786682,4036392.3841311135,4.5169999999999995,91.35028485247368,86.05886821672703,93.13424236129667
6,Non-Interstate Freeway,All,3,44697.777,50302.725114491644,14899.259,16767.575038163883,0.2621159913935582,1868.3160381638827,12.539657429700917,23.189412084311265,16.008753490725024,0.9956587471809776,35812123.2619715,11937374.420657167,0.8580000000000001,17.496774664821956,19.979149732992166,21.13683635844746
7,Principal Arterial,All,16,127084.07799300001,142750.24038723635,7942.754874562501,8921.890024202272,0.6346320069043878,979.135149639771,12.32739981408155,26.310588769936253,20.998392005930594,0.913621874892583,69875259.79438728,4367203.737149205,3.2569999999999997,30.71532466484236,48.223184873430256,56.97999376854581
8,Minor Arterial,All,138,469772.72022799996,505477.06039834314,3404.15014657971,3662.877249263356,0.7428892561999104,258.7271026836461,7.600343449703588,48.327139572903725,49.33716583204495,0.8452805136818977,373489745.0871231,2706447.4281675587,25.04,86.43909922241475,156.54648912382655,177.59750883991347
9,Major Collector,All,143,277783.4957750001,316744.0844259049,1942.541928496504,2214.9935973839506,1.0196514347368142,272.45166888744666,14.025523201876,67.13761470107528,52.80128567914005,0.8961096179762803,243225248.20138192,1700875.8615481253,50.97300666467267,90.81820009063355,149.4324931110827,167.13662487539654
10,Minor Collector,All,25,20058.13,29596.43409542993,802.3252,1183.8573638171972,1.7493497170748908,381.5321638171972,47.55330679096172,105.22763950181827,91.45218487030647,0.5742217744988327,17819705.869370043,712788.2347748018,15.911188096313332,19.479265067773703,27.85888196360267,28.310906741931365
11,Local Road or Street,All,25,18887.395,24650.696852028228,755.4958,986.0278740811291,1.0557933953299004,230.53207408112905,30.514011339458015,97.00910669815165,129.21933550796905,0.6081683521282013,13428550.235731555,537142.0094292623,8.112,5.988856956154365,11.644499637584335,12.002556966170577
12,Ramps,All,26,57709.7446687,91197.97451863949,2219.6055641807693,3507.614404563057,2.6176862410442427,1288.0088403822879,58.028726417329786,72.44433969543165,62.112554066889366,0.9589726378985575,67225474.19586498,2585595.161379422,3.452,11.699516868773639,20.056314632183383,20.866039554124004
13,Urban Interstates,All,2,44049.020000000004,50637.3492878244,22024.510000000002,25318.6746439122,5.266831861813142,3294.164643912198,14.9568124054165,15.08992954663095,14.942806399829738,1.0,22091079.060799368,11045539.530399684,2.145,54.310368402247086,54.310368402247086,60.39473240717045
14,Urban Non-Interstate Freeway,All,3,44697.777,50302.725114491644,14899.259,16767.575038163883,0.2621159913935582,1868.3160381638827,12.539657429700917,23.189412084311265,16.008753490725024,0.9956587471809776,35812123.2619715,11937374.420657167,0.8580000000000001,17.496774664821956,19.979149732992166,21.13683635844746
15,Urban Principal Arterial,All,14,99864.971283,110459.11170385501,7133.212234500001,7889.936550275358,0.5518356157642315,756.7243157753574,10.608464894895976,25.273191886773375,21.59427126529827,0.8907134764461415,45500745.96196355,3250053.2829973963,2.8179999999999996,22.608080218450812,38.37136171888183,46.16304259983831
