,Statistics
Population,"163,664"
Total Employment,"85,076"
Housing Units (HU),"65,162"
Person Trips (PrT),"728,184"
Vehicle Trips (PrT),"436,531"
Daily VMT,"3,984,040"
Daily Per Capita VMT,24.34
Daily VMT Per HU,61.14
AM VMT,"470,897"
AM VMT Per HU,7.23
PM VMT,"945,675"
PM VMT Per HU,14.51
OP VMT,"2,567,468"
OP VMT Per HU,39.40
PM Peak Hr VMT,"325,549"
PM Peak Hr VMT Per HU,5.00
Daily VHT,"89,333"
Daily Per Capita VHT,0.55
Daily VHT Per HU,1.37
AM VHT,"10,605"
AM VHT Per HU,0.16
PM VHT,"21,962"
PM VHT Per HU,0.34
OP VHT,"56,765"
OP VHT Per HU,0.87
PM Peak Hr VHT,"7,661"
PM Peak Hr VHT Per HU,0.12
Daily VHD,"5,075"
Daily Per Capita VHD,0.03
Daily VHD Per HU,0.08
AM VHD,612
AM VHD Per HU,0.01
PM VHD,"1,770"
PM VHD Per HU,0.03
OP VHD,"2,693"
OP VHD Per HU,0.04
PM Peak Hr VHD,668
PM Peak Hr VHD Per HU,0.01
