,Type,Item,NumObs,TotCnt,TotMod,AvgCnt,AvgMod,Tstat,AvgErr,PctErr,PctRMSE,MAPE,CorrCoef,SumSqErr,MeanSqErr,Miles,kVMT,kVHT_FF,kVHT_CTime
0,Areawide,All,383,207554.9195732,237006.89711558208,541.9188500605744,620.4369034439321,1.6013609150506112,78.51805338335771,14.488895039281463,57.55741844781993,64.5468505227494,0.9134823635186827,37165030.37068999,97290.65542065442,112.120194760986,65.6895481668035,96.73314117536977,106.69463672997944
1,Freeways,All,9,25915.112399999998,30348.328492622975,2879.456933333333,3372.036499180331,1.022454213272418,492.57956584699787,17.10668286595192,29.813662192143518,19.945813267371683,0.864815045025069,6632760.821433487,736973.4246037208,5.374999999999999,19.368049080597928,19.005404427377165,20.479051426111184
2,Non-Freeways,All,373,181578.5321732,206658.56862295914,486.8057162820375,554.0444199006947,1.7114955812053017,67.23870361865721,13.812225569615446,58.77186316013165,65.62301496054671,0.8767984058196563,30532269.549256496,81855.95053419973,106.74519476098601,46.32149908620558,77.7277367479926,86.21558530386825
3,Urban,All,246,153194.16281500002,172604.137005244,622.7404992479676,701.6428333546504,1.296169702307968,78.90233410668282,12.670178702359436,54.735494092161645,69.47997269295514,0.8963850627407246,28581657.696589604,116185.60039264067,45.424566459077326,39.053559490149304,62.48523587261349,69.75656703710516
4,Rural,All,136,54299.4817582,64402.76011033811,399.2608952808824,473.5497066936626,0.9239190509806161,74.2888114127802,18.606583387165326,62.92203415659183,55.6237030678184,0.9459228460057125,8583372.674100379,63113.03436838514,66.69562830190867,26.635988676654197,34.24790530275629,36.938069692874286
5,Interstates,All,6,17763.258,20009.803296881637,2960.543,3334.9672161469393,0.8200968080005662,374.4242161469392,12.647146693932134,26.156792882227904,18.552458617414114,0.6947975568001534,3598015.1198919406,599669.1866486567,4.5169999999999995,15.815800202136161,14.928993603270486,16.16946282658029
6,Non-Interstate Freeway,All,3,8151.8544,10338.525195741338,2717.2848,3446.175065247113,0.5559274401839421,728.8902652471129,26.824213098572255,37.013944180872016,22.732522567286818,0.9978630980391656,3034745.7015415467,1011581.9005138489,0.8580000000000001,3.5522488784617634,4.076410824106676,4.309588599530898
7,Principal Arterial,All,16,22036.142547000003,26808.736083235002,1377.2589091875002,1675.5460052021876,1.033396667628456,298.28709601468745,21.658026245091335,41.246172570151735,27.361740355800446,0.8511161839791207,5163194.34573295,322699.64660830935,3.2569999999999997,5.84543379805904,9.070437001525876,10.481056928574967
8,Minor Arterial,All,138,91446.3346924,93160.83023759062,662.6545992202899,675.0784799825408,0.19193711832758698,12.42388076225086,1.874865243049603,47.48576395696759,55.09764256949381,0.8295911398905921,13664079.442353345,99015.06842285032,25.04,15.985054398927835,28.80819141048198,32.40282605127935
9,Major Collector,All,143,51256.661568799995,59365.900737905366,358.43819278881114,415.14615900633123,1.1399843300084782,56.707966217520095,15.820849272870866,62.421062750885945,60.86800489151909,0.8983576590693637,7158580.488902615,50060.00341889941,50.97300666467267,17.377277766285584,28.517713105458796,31.703964471447684
10,Minor Collector,All,25,3859.85,5857.120977777578,154.394,234.28483911110314,1.9132438675123677,79.89083911110313,51.74478225261547,99.82134828551418,91.43822778925868,0.677091260934916,593810.2771522411,23752.411086089644,15.911188096313332,3.8569989893771472,5.505451730723241,5.591599809811537
11,Local Road or Street,All,25,3127.2450000000003,4456.4627190299625,125.08980000000001,178.2585087611985,1.4347888095882435,53.16870876119849,42.504431825135605,106.56858628505685,141.8667899185733,0.6218038133507353,444265.11662704346,17770.604665081737,8.112,1.1011268976069286,2.1306168096043345,2.190789878946359
12,Ramps,All,26,9852.298364999999,17009.517867420574,378.93455249999994,654.2122256700221,2.8807745284031707,275.2776731700222,72.64517615347896,96.93931544302227,73.05276606992096,0.9389306857064406,3508339.8784883036,134936.14917262708,3.452,2.1556072359490464,3.6953266901983643,3.845348163808362
13,Urban Interstates,All,2,6370.721,8959.023625395272,3185.3605,4479.511812697636,9.704573378512267,1294.151312697636,40.62809571154148,40.876813368670675,40.64334181086808,-1.0,3390792.70870886,1695396.35435443,2.145,9.60815401007643,9.608154010076431,10.682608644104675
14,Urban Non-Interstate Freeway,All,3,8151.8544,10338.525195741338,2717.2848,3446.175065247113,0.5559274401839421,728.8902652471129,26.824213098572255,37.013944180872016,22.732522567286818,0.9978630980391656,3034745.7015415467,1011581.9005138489,0.8580000000000001,3.5522488784617634,4.076410824106676,4.309588599530898
15,Urban Principal Arterial,All,14,17317.949388,20690.535963395858,1236.9963848571429,1477.895425956847,0.9578400371461977,240.89904109970416,19.474514561942303,34.02144419101677,25.771852382491527,0.8664721418306328,2479535.821820736,177109.701558624,2.8179999999999996,4.252005616400934,7.159710266161399,8.406714898936443
16,Urban Minor Arterial,All,120,85767.170602,86228.67892748615,714.7264216833333,718.5723243957179,0.053796263324317375,3.8459027123846,0.5380943806899817,46.75294824034317,58.263356369476995,0.818835128773095,13399201.735138532,111660.01445948776,19.467,13.879293511313161,26.057148856084698,29.59442466517791
17,Urban Major Collector,All,75,25922.305,28941.523781092154,345.63073333333335,385.8869837478954,0.8621680858763437,40.25625041456203,11.64718485139401,57.01928730272438,70.95695461672192,0.7732682578617321,2912926.5792588596,38839.0210567848,14.878566459077332,5.2604291127478255,11.089811497216164,12.074946257583312
18,Urban Minor Collector,All,1,275.85,686.163053732907,275.85,686.163053732907,,410.31305373290695,148.7449895714725,148.7449895714725,148.7449895714725,0.0,168356.80206362339,168356.80206362339,0.45199999999999996,0.31014570028727395,0.4652185504309109,0.4806826147178734
19,Urban Local Road or Street,All,16,2209.17,3896.6717662902884,138.073125,243.54198539314302,2.277890685125301,105.46886039314302,76.38623402863013,113.35653285916273,183.9803913759828,0.6747554535987383,391950.65936561784,24496.916210351115,3.142,0.7563922846124648,1.5689697949666952,1.6242308836375419
20,Urban Ramps,All,15,7179.142425,12863.014692110015,478.609495,857.5343128073343,3.4583896265240406,378.92481780733436,79.17202265436342,90.33863037038445,78.39849904066062,0.9124188074199538,2804147.6886918307,186943.17924612205,1.6639999999999997,1.434890376249457,2.459812073570498,2.5833704734164993
21,Rural Interstates,All,4,11392.537,11050.779671486365,2848.13425,2762.6949178715913,-0.20249662806329438,-85.43933212840875,-2.9998351421955882,7.991492740823784,7.507017020687129,0.9177020489549564,207222.41118308058,51805.602795770144,2.372,6.207646192059733,5.320839593194058,5.486854182475614
22,Rural Non-Interstate Freeway,All,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Rural Principal Arterial,All,2,4718.193159,6118.200119839143,2359.0965795,3059.1000599195713,0.7172069425871065,700.0034804195711,29.672523223611883,49.10242131243418,38.49095616896287,1.0,2683658.5239122137,1341829.2619561069,0.4389999999999999,1.5934281816581046,1.910726735364478,2.07434202963852
24,Rural Minor Arterial,All,18,5679.1640904,6932.151310104481,315.5091161333333,385.1195172280267,0.8620637239139036,69.61040109469343,22.06288108178664,38.44806960487364,33.99288390293926,0.9307701880581252,264877.7072148124,14715.428178600689,5.5729999999999995,2.105760887614677,2.751042554397277,2.808401386101438
25,Rural Major Collector,All,68,25334.356568799998,30424.376956813216,372.56406718823524,447.4173081884296,0.8197576816911524,74.85324100019437,20.091374233998614,67.0682341974267,49.740486812251255,0.9458000840591478,4245653.909643754,62436.0869065258,36.09444020559534,12.116848653537758,17.427901608242628,19.629018213864374
26,Rural Minor Collector,All,24,3583.9999999999995,5170.957924044672,149.33333333333331,215.456580168528,1.7175863146288062,66.12324683519469,44.27895993428217,89.15868562964516,89.05044604833311,0.6645511348946466,425453.47508861765,17727.2281286924,15.459188096313333,3.5468532890898743,5.04023318029233,5.110917195093664
27,Rural Local Road or Street,All,9,918.075,559.7909527396741,102.00833333333334,62.198994748852684,-1.0070901720045267,-39.809338584480656,-39.025574954151445,74.7401483315633,66.99816510540084,0.7271818321678525,52314.45726142562,5812.717473491735,4.97,0.34473461299446395,0.5616470146376392,0.5665589953088166
28,Rural Ramps,All,11,2673.15594,4146.5031753105595,243.01417636363638,376.95483411914176,1.1118769265298598,133.94065775550538,55.11639681262138,104.11604208412884,65.76313020073049,0.9167529347810695,704192.1897964729,64017.471799679355,1.788,0.7207168596995891,1.235514616627867,1.2619776903918625
29,AADT < 5k,FSUTMS RMSE,275,71466.0378112,88461.19613879974,259.87650113163636,322.8510807985392,3.3914655579504895,62.974579666902855,24.232502512800906,78.389061108314,77.21475890584334,0.632772289200699,11370917.546136476,41499.69907349079,89.33419476098601,23.21513426811678,38.75913224097372,40.24727796763898
