,Type,Item,NumObs,TotCnt,TotMod,AvgCnt,AvgMod,Tstat,AvgErr,PctErr,PctRMSE,MAPE,CorrCoef,SumSqErr,MeanSqErr,Miles,kVMT,kVHT_FF,kVHT_CTime
0,Areawide,All,385,1769218.156736,2008303.3565853208,4595.371835677922,5229.956657774273,1.5322735726727235,634.5848220963508,13.8092159848635,49.36694049123908,54.13868208173602,0.9348093275068222,1976264030.3166842,5146520.912283032,113.07219476098601,556.4324097003997,820.03399605246,909.7712984118137
1,Freeways,All,9,234867.3111,257579.816769462,26096.367899999997,28619.979641051334,0.6023108629019971,2523.611741051336,9.670356237778732,17.343302761038697,10.839055991676767,0.9524177868670826,184359810.604302,20484423.400477998,5.374999999999999,167.05474735408248,162.92231314188487,175.55005315738273
2,Non-Freeways,All,375,1533880.595636,1750723.5398158587,4090.3482550293334,4668.596106175623,1.7836679604229964,578.24785114629,14.136885543554854,53.441849112548276,55.17787310789745,0.8978418595030944,1791904219.712382,4778411.2525663525,107.69719476098601,389.37766234631727,657.1116829105754,734.2212452544309
3,Urban,All,246,1304147.501631,1462164.0531464405,5301.412608256098,5943.756313603417,1.2504276460226846,642.343705347319,12.116463154499085,46.4855158152407,56.073714025962985,0.9214500677437372,1494010428.9430285,6073213.125784668,45.424566459077326,330.2416914078095,531.1013707164409,597.7458481143572
4,Rural,All,138,464600.405105,546139.3034388801,3366.669602210145,3957.531184339711,0.8701040552087785,590.8615821295662,17.550328720753544,55.52616749834483,50.689277311592306,0.9602174032357467,482253601.37365556,3494591.3143018517,67.64762830190867,226.19071829259022,288.93262533601944,312.0254502974566
5,Interstates,All,6,166779.66,178268.75588458718,27796.61,29711.459314097865,0.4769913617948022,1914.8493140978644,6.888787208576386,12.83889326350552,7.716154172334594,0.9358291984379258,76417019.45610234,12736169.90935039,4.5169999999999995,139.59369989903266,131.50237552830407,142.31402817860743
6,Non-Interstate Freeway,All,3,68087.6511,79311.06088487481,22695.883700000002,26437.02029495827,0.3446382175674383,3741.1365949582687,16.48376703198505,26.42950913044304,17.08485963036112,0.9960389894495296,107942791.14819966,35980930.38273322,0.8580000000000001,27.46104745504983,31.419937613580736,33.2360249787753
7,Principal Arterial,All,16,195095.02525,223974.83046316347,12193.439078125,13998.426903947717,0.7599302330448219,1804.9878258227163,14.802942912642752,28.191716725393054,22.508542431079174,0.909176108504101,189066878.46407133,11816679.904004458,3.2569999999999997,48.11785640828202,75.6350459395113,88.60347572564805
8,Minor Arterial,All,139,749258.5644670001,796399.6097981895,5390.349384654677,5729.493595670428,0.6355932024404237,339.14421101575044,6.291692556724263,45.154313108718604,46.252990504104844,0.8546310651975435,823468729.3703024,5924235.463095701,25.644,137.14588561468733,247.88640523217452,281.4796000145195
9,Major Collector,All,144,440187.74789,502877.0650365809,3056.8593603472223,3492.2018405318117,1.0768156316808046,435.3424801845895,14.241495236311424,63.326231589283125,49.152744278407546,0.897347491065526,539610880.7262616,3747297.7828212613,51.321006664672666,145.09273585704028,239.09045623414875,267.0780572029547
10,Minor Collector,All,25,32121.02,47607.188582374336,1284.8408,1904.2875432949734,1.8177488630469667,619.4467432949734,48.211945269404076,101.05880148613996,86.8056285684966,0.6061920595709865,42148966.84942421,1685958.6739769685,15.911188096313332,31.305983298907883,44.748878680255515,45.472835079318344
11,Local Road or Street,All,25,29204.555,39316.96302540412,1168.1822,1572.6785210161647,1.2044669301454922,404.49632101616476,34.62613289400958,95.78195572164334,122.2057149988676,0.6343422907285206,31298864.247757785,1251954.5699103114,8.112,9.735171066323613,18.927988079783276,19.50657964696494
