,Type,Item,NumObs,TotCnt,TotMod,AvgCnt,AvgMod,Tstat,AvgErr,PctErr,PctRMSE,MAPE,CorrCoef,SumSqErr,MeanSqErr,Miles,kVMT,kVHT_FF,kVHT_CTime
0,Areawide,All,383,1128465.2256647001,1277698.481041859,2946.3844012133163,3344.760421575547,1.4600757394887889,398.3760203622305,13.520843383442427,50.44506917202868,56.60334113561167,0.933987081365255,843877912.5211996,2209104.4830397894,112.120194760986,353.77217257325094,519.5257782644782,577.4752448595252
1,Freeways,All,9,156875.63700000002,166602.61999343504,17430.626333333334,18511.402221492783,0.3866575656722896,1080.775888159449,6.200442069557965,14.710055438161255,10.188516345562288,0.9549815193882251,59169393.011340894,6574377.001260099,5.374999999999999,108.55558604110509,105.7319631019043,113.92890774069085
2,Non-Freeways,All,373,971295.5636646999,1111095.8610484237,2604.0095540608577,2978.8092789501975,1.7654155643616534,374.7997248893398,14.39317779402358,55.70025644062789,57.723269883897046,0.8963862759882009,784708519.5098587,2103776.191715439,106.74519476098601,245.21658653214578,413.7938151625739,463.5463371188343
3,Urban,All,246,832463.7596817,931828.8490850199,3383.9990230963417,3787.9221507521133,1.202134898517644,403.9231276557716,11.936266083380367,47.20890831030438,58.292246263789984,0.9220610347538485,627832047.5042956,2552162.7947329087,45.424566459077326,211.3587966098121,338.4692060926648,381.30111063660917
4,Rural,All,136,295707.440983,345869.6319568388,2174.319418992647,2543.1590585061676,0.8107136181737432,368.8396395135205,16.963452393043628,57.966914025713535,53.54840980081853,0.95658060155044,216045865.016904,1588572.5368889999,66.69562830190867,142.41337596343882,181.05657217181331,196.17413422291617
5,Interstates,All,6,112177.86,116386.92799559233,18696.31,19397.82133259872,0.26368001859121715,701.5113325987186,3.752137895652771,10.45887594009978,7.043406517134996,0.9409547024585225,22942095.027751863,3823682.5046253107,4.5169999999999995,91.06703897198426,85.77562233623844,92.82398060108203
6,Non-Interstate Freeway,All,3,44697.777,50215.69199784272,14899.259,16738.563999280905,0.2570440186239528,1839.3049992809047,12.344942787295023,23.32344371571412,16.478736002416873,0.9959307734107194,36227297.98358903,12075765.994529678,0.8580000000000001,17.488547069120823,19.956340765665857,21.1049271396088
7,Principal Arterial,All,16,127084.07799300001,144928.8168313442,7942.754874562501,9058.051051959012,0.7193969838392917,1115.2961773965108,14.0416794299968,26.695648229263274,21.829009214556866,0.9200576417290608,71935496.2748231,4495968.517176444,3.2569999999999997,31.0026302205276,48.80673870669711,57.32994161315948
8,Minor Arterial,All,138,469772.72022799996,505046.25843693793,3404.15014657971,3659.75549591984,0.7326409095045614,255.60534934013003,7.508639112083445,47.86669921239036,48.48506700967876,0.849106148990331,366406746.70638114,2655121.352944791,25.04,86.47633464089246,156.47343219897687,177.8942493340131
9,Major Collector,All,143,277783.4957750001,315903.76126335457,1942.541928496504,2209.1172116318503,0.9960144660261292,266.57528313534635,13.723013090464994,67.78057267267447,52.21906565198632,0.893671806110187,247906154.24086964,1733609.4702158717,50.97300666467267,90.76302042086922,149.2576248725198,167.438304673696
10,Minor Collector,All,25,20058.13,29342.183459899006,802.3252,1173.6873383959603,1.7167209561701104,371.3621383959603,46.28573780257186,103.5321258579567,89.74013512221937,0.5771670686501316,17250080.971498445,690003.2388599378,15.911188096313332,19.28688408448975,27.563988490111143,28.011776924240326
11,Local Road or Street,All,25,18887.395,24703.52950529825,755.4958,988.1411802119301,1.059112934155772,232.64538021193005,30.793735744385348,97.48120369796466,126.78810626294346,0.611366982463805,13559568.94819214,542382.7579276856,8.112,6.022759971993211,11.694961419914213,12.054546468345727
12,Ramps,All,26,57709.7446687,91171.31155158968,2219.6055641807693,3506.5889058303724,2.6007777900664224,1286.983341649603,57.98252457186526,72.67297477853516,61.924763425457876,0.960916965183059,67650472.36809425,2601941.2449267018,3.452,11.664957193373564,19.997069474354678,20.817518105379825
13,Urban Interstates,All,2,44049.020000000004,50372.69113153251,22024.510000000002,25186.345565766256,3.8550519810417696,3161.835565766254,14.355985970930814,14.647552884135525,14.335214227902526,1.0,20814819.783765107,10407409.891882554,2.145,54.02712252176351,54.02712252176351,60.0844706469589
14,Urban Non-Interstate Freeway,All,3,44697.777,50215.69199784272,14899.259,16738.563999280905,0.2570440186239528,1839.3049992809047,12.344942787295023,23.32344371571412,16.478736002416873,0.9959307734107194,36227297.98358903,12075765.994529678,0.8580000000000001,17.488547069120823,19.956340765665857,21.1049271396088
15,Urban Principal Arterial,All,14,99864.971283,112887.80544875414,7133.212234500001,8063.41467491101,0.6630429909089955,930.2024404110089,13.040442507963748,26.48458495033654,22.661264718526926,0.8963273500359721,49967160.44917491,3569082.8892267793,2.8179999999999996,22.982426594815475,39.04986917470675,46.61371055775466
16,Urban Minor Arterial,All,120,441854.26437999995,469158.05954068294,3682.118869833333,3909.6504961723576,0.5893063948638961,227.53162633902457,6.179366673985828,46.925016367045,50.09731302159973,0.8397806102181127,358249605.6687988,2985413.3805733235,19.467,75.43251801962089,142.06303286622318,163.1791609429005
17,Urban Major Collector,All,75,143617.87,154464.03543392805,1914.9049333333332,2059.5204724523737,0.5860102740220685,144.61553911904048,7.552100190545951,57.70455230222021,57.27625135008477,0.7485762193535467,91574773.10202196,1220996.9746936262,14.878566459077332,27.678551015000302,58.58121438400833,64.41559538273277
18,Urban Minor Collector,All,1,1446.75,3456.4945333932965,1446.75,3456.4945333932965,,2009.7445333932965,138.91443120050434,138.91443120050434,138.91443120050434,0.0,4039073.089504239,4039073.089504239,0.45199999999999996,1.5623355290937697,2.343503293640655,2.4286151435116285
19,Urban Local Road or Street,All,16,13423.835,21585.841837800035,838.9896875,1349.1151148625022,1.806101316526019,510.12542736250225,60.80234774786815,101.46549095489564,157.30898218842177,0.6382519161382274,11594978.568958148,724686.1605598843,3.142,4.144283757010567,8.660102337993543,8.989795800281675
20,Urban Ramps,All,15,43509.27201869999,69688.22916108616,2900.618134579999,4645.88194407241,2.9851406071856066,1745.263809492411,60.168685725503806,66.23367789320866,65.4182452204218,0.9503713745081362,55364338.858483426,3690955.9238988953,1.6639999999999997,8.043012103386747,13.788020748662996,14.484835022860146
21,Rural Interstates,All,4,68128.84,66014.23686405981,17032.21,16503.559216014954,-0.20836482299432338,-528.6507839850456,-3.1038296497345064,4.281646853747928,3.397502661751233,0.9972443824014264,2127275.243986754,531818.8109966886,2.372,37.039916450220765,31.74849981447494,32.73950995412314
22,Rural Non-Interstate Freeway,All,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Rural Principal Arterial,All,2,27219.10671,32041.011382590055,13609.553355,16020.505691295028,0.5811428174872295,2410.9523362950276,17.715146657691527,24.35228451316357,16.00322068676641,1.0,21968335.82564818,10984167.91282409,0.4389999999999999,8.02020362571212,9.756869531990366,10.71623105540481
24,Rural Minor Arterial,All,18,27918.455848,35888.19889625498,1551.025324888889,1993.7888275697212,1.1689005070995866,442.7635026808323,28.546503759540524,43.40240989705879,37.736760263538976,0.9330134950274556,8157141.037582344,453174.50208790804,5.5729999999999995,11.04381662127159,14.410399332753684,14.715088391112594
25,Rural Major Collector,All,68,134165.625775,161439.72582942655,1973.0239084558823,2374.113615138626,0.8115250707325752,401.08970668274355,20.328679493632812,76.84865627317481,46.64128730849539,0.9469640661594585,156331381.1388477,2298990.899100702,36.09444020559534,63.08446940586892,90.6764104885115,103.02270929096319
26,Rural Minor Collector,All,24,18611.379999999997,25885.68892650571,775.4741666666665,1078.570371937738,1.5108407868000766,303.0962052710714,39.08527431338093,95.67423981964038,87.69120611895751,0.5439140781283892,13211007.881994203,550458.6617497584,15.459188096313333,17.72454855539598,25.220485196470488,25.583161780728698
27,Rural Local Road or Street,All,9,5463.5599999999995,3117.687667498219,607.0622222222222,346.40974083313546,-1.1493009810813442,-260.65248138908674,-42.93669937736166,76.96292137638822,72.52877128431537,0.6984805261180917,1964590.3792339931,218287.81991488812,4.97,1.878476214982644,3.03485908192067,3.0647506680640513
28,Rural Ramps,All,11,14200.47265,21483.082390503532,1290.952059090909,1953.0074900457757,1.3908869297043487,662.0554309548668,51.284277080055745,81.86554512258911,57.160924614143404,0.928007376861918,12286133.509610832,1116921.2281464392,1.788,3.6219450899868164,6.209048725691686,6.3326830825196785
29,AADT < 5k,FSUTMS RMSE,275,378174.21784169995,466580.8962501772,1375.1789739698181,1702.8499863145153,3.4686201578280005,327.67101234469715,23.827517621127384,73.79940288426715,66.78205857730671,0.6828300821118772,282211499.0977359,1029968.974809255,89.33419476098601,120.34648499324662,202.12619140231615,210.3069012814251
30,AADT 5k to 10k,FSUTMS RMSE,71,320973.98680499993,339050.30252040294,4520.76037753521,4775.356373526802,0.9995222230684847,254.59599599159174,5.63170738393353,41.241416199139415,34.6667018588423,0.32143074839978375,246801880.77898687,3476082.8278730544,11.414000000000001,59.82176255690093,111.14862741408007,126.13157982727611
31,AADT 10k to 15k,FSUTMS RMSE,20,160872.37899799997,175998.86539842928,8043.618949899998,8799.943269921463,0.9463549392295869,756.3243200214647,9.40278654088739,35.63501710929253,29.13337953001584,0.6555411019067011,164318671.91967055,8215933.595983528,4.599,41.86939105413994,66.89271536979695,88.26312896448265
32,AADT 15k to 20k,FSUTMS RMSE,5,56272.92,71472.46891961222,11254.583999999999,14294.493783922444,3.6611851420114516,3039.909783922445,27.010414457988364,30.60919840778334,27.726248702320238,0.05300540345876381,59337987.27723364,11867597.455446728,0.887,12.503057933805703,19.095046702025172,22.474964874429165
33,AADT 20k to 30k,FSUTMS RMSE,7,105969.44791999999,108238.06872220342,15138.492559999999,15462.58124602906,0.32889069878867727,324.08868602906114,2.1408253479966115,14.718322297861056,10.889815892751049,0.1960495596431691,34752009.39697057,4964572.770995796,2.481,37.267551599986994,39.43762054677712,42.254258659907414
34,AADT 30k to 50k,FSUTMS RMSE,5,106202.27410000001,116357.8792310338,21240.454820000003,23271.57584620676,1.1753685024762157,2031.121026206758,9.562511930273054,15.819972168439628,13.065777256528454,0.836922253655142,56455864.05060206,11291172.810120413,3.4050000000000002,81.96392443517072,80.82557682948267,88.04441125200488
35,AADT 50k to 60k,FSUTMS RMSE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,AADT > 60k,FSUTMS RMSE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,AADT < 10k,FSUTMS Pct Error,346,699148.2046467001,805631.1987705799,2020.6595510020234,2335.162894987188,2.3782468772141323,314.5033439851645,15.564390539178444,61.2816757660834,60.172811252637224,0.7787350687057326,529013379.8767228,1533372.1155847039,100.748194760986,180.16824755014756,313.27481881639625,336.4384811087012
38,AADT 10k to 30k,FSUTMS Pct Error,32,323114.746918,355709.40304024494,10097.3358411875,11115.918845007654,1.0963423434736252,1018.5830038201548,10.087641134657595,28.143088005908456,24.92273579253673,0.7703503863228998,258408668.59387478,8075270.893558587,7.966999999999999,91.64000058793262,125.42538261859926,152.9923524988192
39,AADT 30k to 50k,FSUTMS Pct Error,5,106202.27410000001,116357.8792310338,21240.454820000003,23271.57584620676,1.1753685024762157,2031.121026206758,9.562511930273054,15.819972168439628,13.065777256528454,0.836922253655142,56455864.05060206,11291172.810120413,3.4050000000000002,81.96392443517072,80.82557682948267,88.04441125200488
40,AADT 50k to 65k,FSUTMS Pct Error,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,AADT 65k to 75k,FSUTMS Pct Error,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,AADT > 75k,FSUTMS Pct Error,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Freeways,FSUTMS Pct Error,9,156875.63700000002,166602.61999343504,17430.626333333334,18511.402221492783,0.3866575656722896,1080.775888159449,6.200442069557965,14.710055438161255,10.188516345562288,0.9549815193882251,59169393.011340894,6574377.001260099,5.374999999999999,108.55558604110509,105.7319631019043,113.92890774069085
44,Arterials,FSUTMS Pct Error,154,596856.798221,649975.0752682821,3875.6934949415586,4220.617371871962,0.8835040195726087,344.92387693040337,8.89966859816412,43.53082302743725,45.71560645953623,0.8898280407353304,438342242.9812043,2846378.2011766513,28.297,117.47896486142005,205.280170905674,235.2241909471726
45,Collectors,FSUTMS Pct Error,168,297841.625775,345245.94472325355,1772.8668200892857,2055.0353852574617,1.2070723733681443,282.168565168176,15.915948224129172,70.86310357304347,57.80255813267576,0.8884629625923908,265156235.2123681,1578310.9238831433,66.88419476098599,110.04990450535898,176.82161336263096,195.45008159793628
46,Internal Counts,All,372,1038112.9606647,1189122.26281415,2790.626238345968,3205.181301385849,1.614791627606891,414.55506303988113,14.85527002303225,53.97477626689581,58.080925416529794,0.925576635756042,841703160.2683941,2268741.671882464,107.76119476098602,313.0267243867855,481.4025405260116,537.5181363911365
47,External Counts,All,11,90352.265,88576.21822770881,8213.842272727272,8052.383475246256,-0.0483084899909374,-161.4587974810156,-1.9656914769000775,5.413301211091714,6.768453115554865,0.9992832327791018,2174752.2528055273,197704.75025504793,4.359,40.74544818646547,38.12323773846656,39.95710846838875
48,Sc 3 Deception Pass,All,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Sc 4 EW Fidalgo-Main,All,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Sc 5 NS Southwest County,All,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Sc 6 EW East Sedro-Woolley,All,1,5873.99,10173.143420583636,5873.99,10173.143420583636,,4299.153420583636,73.189661892234,73.189661892234,73.189661892234,0.0,18482720.13371598,18482720.13371598,0.9159999999999999,9.31859937325461,10.16574477082321,10.489520356787084
52,Sc 7 NS Skagit River @I5,All,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Sc 8 EW Northwest County,All,3,6036.629999999999,7740.003742369825,2012.2099999999998,2580.0012474566083,0.9094849545194682,567.7912474566085,28.217295782080825,40.60690627870006,26.660387054811668,0.7384718151095133,2002938.741507714,667646.2471692379,0.44300000000000006,1.1279383601717918,1.6658293233300523,1.696232211896924
54,Sc 9 NS Mount Vernon,All,4,11844.945,10636.917054123207,2961.23625,2659.2292635308017,-0.27248412087430207,-302.0069864691982,-10.19867923301284,38.41852385052198,32.99663750294198,0.9476038542927437,5177110.726895379,1294277.6817238447,0.71,1.8029338646879396,4.327041275251055,4.688312654163422
55,Sc 10 EW Mount Vernon,All,4,15645.390000000003,23518.187515097758,3911.3475000000008,5879.546878774439,1.4387910348556026,1968.1993787744386,50.32023819858599,56.54827384587282,85.40099289570391,0.9344798727178628,19568228.030764483,4892057.007691121,0.602,3.6475611903695686,8.439197588663351,10.572796933675862
56,Sc 11 EW West Sedro-Woolley,All,1,9463.229533,12114.410882022423,9463.229533,12114.410882022423,,2651.181349022423,28.015608622587802,28.015608622587802,28.015608622587802,0.0,7028762.545404355,7028762.545404355,0.131,1.5869878255449374,1.904385390653925,2.0514662149893796
57,Sc 12 EW Fidalgo Bay,All,2,21810.5241,27343.20224538408,10905.26205,13671.60112269204,0.1602744887732276,2766.3390726920406,25.367011448313068,37.664037289592216,56.52927633099388,1.0000000000000002,33740844.62371037,16870422.311855186,1.011,12.227520517936345,13.371354304174554,14.136553704202612
58,Sc 13 Sedro-Woolley Cordon,All,7,29810.960285,36694.17777522987,4258.708612142857,5242.02539646141,0.35727067788440653,983.3167843185529,23.089553051712,52.97186948418635,59.653562279491155,0.9636443729005957,35624148.50694311,5089164.072420443,4.593999999999999,19.794355465174345,25.670519503049487,31.610336929291023
59,Sc 14 NS Bow Hill Rd,All,4,4356.51614,3400.8318263845667,1089.129035,850.2079565961417,-0.3546205038547157,-238.92107840385825,-21.936893676134368,61.11459772353931,55.551658726913026,0.723306541801172,1772183.0491595936,443045.7622898984,5.4350000000000005,3.8199833152903766,4.684890577235272,4.715415175902903
60,Sc 15 Anacortes,All,7,21923.9292,25822.640116594095,3131.9898857142857,3688.9485880848706,0.3080389443482249,556.9587023705849,17.782902330272506,41.95896832790116,39.204226653884064,0.9311746663989685,12088943.40918958,1726991.9155985115,1.7119999999999997,4.3489023987295,7.571233184194263,8.101514436527134
61,Sc 16 Outer Mount Vernon,All,5,8176.767169999999,7101.839913422166,1635.3534339999999,1420.3679826844332,-0.26634311054910287,-214.9854513155667,-13.146115502978589,44.51180975089797,45.353471303034915,0.8317660696959589,2649377.0074999817,529875.4014999963,4.405,5.339550167706394,7.287338354971303,7.394750858458313
