,Type,Item,NumObs,TotCnt,TotMod,AvgCnt,AvgMod,Tstat,AvgErr,PctErr,PctRMSE,MAPE,CorrCoef,SumSqErr,MeanSqErr,Miles,kVMT,kVHT_FF,kVHT_CTime
0,Areawide,All,383,427797.0252077,487968.13170130516,1116.9635122916447,1277.403486129071,1.6817182665039663,160.43997383742635,14.363940457486912,48.566066053052445,53.335533050390694,0.9280005020564659,112410579.81067324,294268.53353579383,112.120194760986,134.35507554455748,200.31628355141135,222.1048485523125
1,Freeways,All,9,52076.5707,60628.86828340398,5786.285633333333,6736.54092037822,1.004649618192188,950.2552870448872,16.422543705252053,21.56659336218398,15.031402717020786,0.9531057828310996,14015395.112389036,1557266.1235987816,5.374999999999999,39.131112232379465,38.18494561260337,41.142093990580726
2,Non-Freeways,All,373,375605.5045077,427339.2634179011,1006.9852667766755,1145.6816713616652,1.83951831378166,138.69640458498964,13.773429379851004,51.00460520466283,54.25976139623609,0.888341171977959,98395184.69828421,263794.0608533089,106.74519476098601,95.223963312178,162.13133793880797,180.96275456173177
3,Urban,All,246,318489.5880357,357731.0670561767,1294.6731220963416,1454.1913294966532,1.3466654843114603,159.51820740031167,12.321118333098546,46.379529614927264,53.37192286296803,0.9082873960157252,88696820.16823758,360556.1795456812,45.424566459077326,79.82933530784813,130.14692875116245,146.68817044064298
4,Rural,All,136,109192.487172,130237.06464512835,802.8859350882352,957.6254753318261,0.9993377099854678,154.7395402435909,19.272917046004228,52.008808286133544,53.26971030116994,0.9667139622373455,23713759.642435662,174365.87972379164,66.69562830190867,54.525740236709346,70.16935480024888,75.41667811166951
5,Interstates,All,6,36838.551,41872.02459211323,6139.7585,6978.670765352205,0.8875231240997699,838.9122653522054,13.663603631188515,17.056791279269234,13.374180947451416,0.9380498573793127,6580342.498149163,1096723.749691527,4.5169999999999995,32.71086072491222,30.79775958879516,33.320584750945116
6,Non-Interstate Freeway,All,3,15238.0197,18756.84369129075,5079.3399,6252.28123043025,0.49052749381025595,1172.9413304302498,23.092396916186882,30.993749579133112,18.345846256159525,0.9952748642317999,7435052.6142398715,2478350.8714132905,0.8580000000000001,6.420251507467241,7.387186023808206,7.821509239635598
7,Principal Arterial,All,16,45974.801606,52237.27754858429,2873.425100375,3264.829846786518,0.7196824883601858,391.40474641151786,13.62153989538259,28.160488557740912,26.87852233296274,0.8892394708222418,10476111.575923696,654756.973495231,3.2569999999999997,11.269792389695386,17.75787023128831,20.7924771839136
8,Minor Arterial,All,138,185594.51742500003,195628.35411217733,1344.8878074275365,1417.5967689288213,0.5789291470542839,72.70896150128488,5.4063217094934135,43.46520079117014,44.49266719527531,0.8443226629477018,47155741.63528675,341708.2727194692,25.04,33.1357396999309,60.746273372792345,69.31446246170172
9,Major Collector,All,143,108191.59048000001,124541.72332022978,756.5845488111889,870.921142099509,1.253853913699713,114.33659328832005,15.112203053574856,57.99389507983045,47.592806369334426,0.883732121497242,27530590.715479866,192521.6133949641,50.97300666467267,35.88558112903372,59.71483344489253,66.30728195533986
10,Minor Collector,All,25,8203.039999999999,12407.884144697751,328.12159999999994,496.31536578791,1.9602709147708577,168.19376578791008,51.259583577524346,101.8612002547376,95.61136812907188,0.5938528916784644,2792718.927368948,111708.75709475791,15.911188096313332,8.16210022504099,11.679438459421128,11.869458345266477
11,Local Road or Street,All,25,7189.915,10156.970801075908,287.5966,406.2788320430363,1.4374282120823911,118.68223204303627,41.26691068080647,94.95597544050368,112.55755139537855,0.6632022537825663,1864455.8443963293,74578.23377585316,8.112,2.611284196723473,5.102409850264732,5.2612432996728575
12,Ramps,All,26,20451.6399967,32367.053491136085,786.6015383346154,1244.8866727360032,2.6978442961806235,458.28513440138784,58.26140835824761,73.01127480677366,63.802010445945356,0.9375842282563432,8575565.999828616,329829.46153186983,3.452,4.159465671753547,7.130512580148936,7.417831315837261
13,Urban Interstates,All,2,14886.92,18012.839112146685,7443.46,9006.419556073342,4.741541472276885,1562.9595560733424,20.997755829591917,21.78341450240353,21.269940695752386,-1.0,5258133.69411355,2629066.847056775,2.145,19.31915277209282,19.31915277209282,21.483543588176286
14,Urban Non-Interstate Freeway,All,3,15238.0197,18756.84369129075,5079.3399,6252.28123043025,0.49052749381025595,1172.9413304302498,23.092396916186882,30.993749579133112,18.345846256159525,0.9952748642317999,7435052.6142398715,2478350.8714132905,0.8580000000000001,6.420251507467241,7.387186023808206,7.821509239635598
15,Urban Principal Arterial,All,14,36031.913259,40679.49056732771,2573.7080899285716,2905.677897666265,0.686284498198497,331.9698077376934,12.898502710418358,29.976888467149607,28.593943296162465,0.8412242742802853,8333351.777044103,595239.4126460074,2.8179999999999996,8.41010484791534,14.264031993915072,16.936282097670563
16,Urban Minor Arterial,All,120,173490.52411,181913.95181381234,1445.7543675833333,1515.949598448436,0.5072009329853103,70.19523086510276,4.855266734033,43.036558996497334,46.813904552161425,0.8323219400081947,46456378.533580035,387136.4877798336,19.467,28.804782501192452,55.11863799999406,63.571971681557
17,Urban Major Collector,All,75,57490.295,63999.579402049334,766.5372666666666,853.3277253606578,0.9367218134461955,86.79045869399124,11.322405637419923,52.52372566732737,49.79303176696237,0.764839220558407,12157348.312587319,162097.97750116425,14.878566459077332,11.770317843135864,24.790337361068445,27.191167977807506
18,Urban Minor Collector,All,1,517.05,1291.2421612587023,517.05,1291.2421612587023,,774.1921612587023,149.73255222100423,149.73255222100423,149.73255222100423,0.0,599373.5025544205,599373.5025544205,0.45199999999999996,0.5836414568889333,0.8754621853334003,0.908202735214656
19,Urban Local Road or Street,All,16,5030.535,8348.163440172171,314.4084375,521.7602150107607,1.9862989313788353,207.3517775107607,65.94981329365906,103.90424402104581,141.3483365416094,0.6304273481260865,1707555.9433531158,106722.24645956974,3.142,1.6353729951702596,3.4451866138329312,3.582844018973344
20,Urban Ramps,All,15,15804.3309667,24728.95686811905,1053.6220644466666,1648.59712454127,3.026585390831079,594.9750600946034,56.46949510373702,63.66626336153344,57.87656882103798,0.9196039010999157,6749625.790765165,449975.05271767767,1.6639999999999997,2.8857113839852295,4.946933801117538,5.192649101608026
21,Rural Interstates,All,4,21951.630999999998,23859.185479966545,5487.907749999999,5964.796369991636,0.5460658186530433,476.8886199916369,8.689807513466986,10.476427797906467,9.426301073300932,0.9587444872187438,1322208.8040356135,330552.2010089034,2.372,13.3917079528194,11.478606816702344,11.837041162768834
22,Rural Non-Interstate Freeway,All,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Rural Principal Arterial,All,2,9942.888347,11557.78698125658,4971.4441735,5778.89349062829,0.5786559346274084,807.4493171282902,16.241745636657306,20.820405335329205,14.870575590564647,1.0,2142759.798879592,1071379.899439796,0.4389999999999999,2.859687541780045,3.4938382373732404,3.8561950862430394
