,Type,Item,NumObs,TotCnt,TotMod,AvgCnt,AvgMod,Tstat,AvgErr,PctErr,PctRMSE,MAPE,CorrCoef,SumSqErr,MeanSqErr,Miles,kVMT,kVHT_FF,kVHT_CTime
0,Areawide,All,383,152160.96382200002,171451.71782818422,397.2871118067886,448.8264864612152,1.5634400690100771,51.53937465442664,12.97282824505307,45.6308035384408,52.70509965055864,0.9302081517725266,12554185.722395314,32864.360529830665,112.120194760986,46.72807729677034,70.12407226468521,77.69809029034522
1,Freeways,All,9,17732.5642,20696.964094810173,1970.2849111111111,2299.6626772011305,1.0053593316714433,329.37776609001935,16.71726582447774,20.44816876533999,15.717679076975335,0.972400955456055,1460862.7457023296,162318.0828558144,5.374999999999999,13.380531246196137,13.068291606422676,14.084739078119785
2,Non-Freeways,All,373,134393.249622,150754.75373337406,360.30361828954426,404.16824057204843,1.662892113376299,43.86462228250417,12.17434964731718,47.86386769297842,53.59755751962633,0.8942577228407131,11093322.976692982,29740.812269954375,106.74519476098601,33.3475460505742,57.05578065826253,63.61335121222543
3,Urban,All,246,112889.4752917,126683.27074704705,458.9003060638211,514.9726453131993,1.3617384790468354,56.07233924937822,12.218849826084014,44.62937138728254,54.5092466699011,0.910045756969064,10318423.32520675,41944.81026506809,45.424566459077326,28.001311114367248,45.938632163862025,51.741753194818386
4,Rural,All,136,39236.3385303,44768.44708113719,288.50248919338236,329.17975794953816,0.772748990923895,40.6772687561558,14.099451574883968,44.44202148695798,49.441716071453875,0.9710053316781365,2235762.3971885657,16439.429391092395,66.69562830190867,18.726766182403086,24.185440100823183,25.956337095526827
5,Interstates,All,6,12457.012,14286.984412098296,2076.168666666667,2381.164068683049,0.9067103823767043,304.9954020163823,14.69029982549823,17.262157537343697,14.324751482521672,0.9631763142156712,770666.8293558385,128444.47155930642,4.5169999999999995,11.196422943283231,10.549540337444855,11.417514417536923
6,Non-Interstate Freeway,All,3,5275.5522,6409.979682711875,1758.5174,2136.6598942372916,0.46241348783940633,378.14249423729166,21.503483231800363,27.27588780957997,18.503534265882667,0.9936547467209786,690195.9163464911,230065.30544883036,0.8580000000000001,2.1841083029129047,2.518751268977822,2.667224660582863
7,Principal Arterial,All,16,16125.015126999999,18095.09536591782,1007.8134454374999,1130.9434603698637,0.6533966237053493,123.13001493236379,12.217540407878966,27.16506163878002,38.34190059908401,0.8879500081399253,1199227.747005465,74951.73418784156,3.2569999999999997,3.9131615447389496,6.189068317853982,7.239178201012255
8,Minor Arterial,All,138,66157.21416830001,69580.51870079781,479.40010266884065,504.20665725215804,0.5641835880832354,24.806554583317393,5.174499222094083,41.53124590742425,42.20932553292306,0.8529577896382955,5470477.693248408,39641.14270469861,25.04,11.65546908363416,21.494596621835424,24.51786226989079
9,Major Collector,All,143,39076.473725,43871.67977616502,273.26205402097906,306.79496346968546,1.0440016552798936,33.53290944870639,12.271337697744151,51.79540962693488,47.48701369998635,0.8914623121429339,2864687.40420759,20032.77905040273,50.97300666467267,12.542506981645868,20.985275582687304,23.248698909649743
10,Minor Collector,All,25,2942.015,4381.660541281877,117.6806,175.2664216512751,1.9402226794842208,57.5858216512751,48.93399732094763,98.5647755391045,90.4239877504327,0.5861677396408791,336351.3933657415,13454.05573462966,15.911188096313332,2.861902861120708,4.095813959468916,4.161911489849602
11,Local Road or Street,All,25,2632.7200000000003,3573.552652480338,105.3088,142.94210609921353,1.2825392963379307,37.63330609921353,35.73614560152003,90.3951180796939,118.49412586424984,0.6539866733272374,226547.5080513219,9061.900322052876,8.112,0.933136244530393,1.820107316581266,1.8753581313400016
12,Ramps,All,26,7459.811601699999,11252.24669673119,286.91583083461535,432.77871910504575,2.4677238502888392,145.8628882704304,50.838215460655086,68.21742036067363,59.22830085487636,0.9082372575768879,996031.2308144574,38308.893492863746,3.452,1.4413693349041228,2.4709188598356384,2.5703422104830373
13,Urban Interstates,All,2,5139.8009999999995,6217.458705792883,2569.9004999999997,3108.7293528964415,5.124383506893212,538.8288528964417,20.966914979643835,21.412534175381374,21.17966834735666,-1.0000000000000002,605617.9679616829,302808.98398084147,2.145,6.668244702414587,6.668244702414587,7.4149350180268
14,Urban Non-Interstate Freeway,All,3,5275.5522,6409.979682711875,1758.5174,2136.6598942372916,0.46241348783940633,378.14249423729166,21.503483231800363,27.27588780957997,18.503534265882667,0.9936547467209786,690195.9163464911,230065.30544883036,0.8580000000000001,2.1841083029129047,2.518751268977822,2.667224660582863
15,Urban Principal Arterial,All,14,12761.18036,14209.008004409729,911.5128828571429,1014.9291431721234,0.5935734713606604,103.41626031498049,11.345562115460352,29.183298064952535,41.78241201079274,0.8590738720762299,990654.9174357979,70761.06553112842,2.8179999999999996,2.9528645296495286,5.015268580872453,5.943654158411841
16,Urban Minor Arterial,All,120,61710.406650000004,64818.04658477896,514.25338875,540.1503882064914,0.5352215804297075,25.896999456491358,5.035844201131938,41.3279926380118,45.146157918103555,0.8407094328155162,5420310.84719225,45169.257059935415,19.467,10.188581475419818,19.584433036824784,22.568766674218654
17,Urban Major Collector,All,75,20311.065000000002,23034.25960404159,270.8142,307.1234613872212,1.1059707122481768,36.30926138722117,13.407443696534807,53.06488015360395,52.015720958705295,0.7676532849567355,1548882.610990223,20651.768146536306,14.878566459077332,4.224019979229303,8.911895641637468,9.762738923019601
18,Urban Minor Collector,All,1,200.7,450.94943939659254,200.7,450.94943939659254,,250.24943939659255,124.68831061115722,124.68831061115722,124.68831061115723,0.0,62624.78191830885,62624.78191830885,0.45199999999999996,0.20382914660725981,0.3057437199108898,0.31713378737936365
19,Urban Local Road or Street,All,16,1841.105,2926.9120603659712,115.0690625,182.9320037728732,1.8193911840828345,67.8629412728732,58.97583572723833,98.38493959993188,151.00830009528883,0.6210565252550757,205066.33936605547,12816.646210378467,3.142,0.5781502868170888,1.2174163138238614,1.265476630899768
20,Urban Ramps,All,15,5649.6650817,8616.656665549453,376.64433878,574.4437777032969,2.904098019303083,197.79943892329686,52.5162384131393,61.12594614614036,57.794122596073926,0.8746439703859322,795069.9439959376,53004.66293306251,1.6639999999999997,1.0015126913167585,1.7168788994001565,1.8018233422794976
21,Rural Interstates,All,4,7317.211,8069.525706305413,1829.30275,2017.3814265763533,0.6349217500447951,188.07867657635325,10.281440651436906,11.104287138867933,10.897293050104178,0.978947051150321,165048.86139415563,41262.215348538906,2.372,4.528178240868642,3.8812956350302654,4.002579399510122
22,Rural Non-Interstate Freeway,All,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Rural Principal Arterial,All,2,3363.8347670000003,3886.08736150809,1681.9173835000001,1943.043680754045,0.5491862306557919,261.12629725404486,15.525512716364931,19.200352826720174,14.258320717122924,0.9999999999999999,208572.8295696673,104286.41478483364,0.4389999999999999,0.9602970150894208,1.173799736981529,1.2955240426004129
24,Rural Minor Arterial,All,18,4446.8075183,4762.472116018866,247.04486212777778,264.5817842232703,0.3403559959474683,17.536922095492514,7.098679140480153,21.369596425143726,22.630442965053035,0.9455270587511244,50166.84605615725,2787.0470031198474,5.5729999999999995,1.4668876082143423,1.9101635850106438,1.9490955956721363
25,Rural Major Collector,All,68,18765.408725,20837.42017212343,275.9618930147059,306.43264959005046,0.5316424831894939,30.47075657534458,11.041653701701781,50.407151972406446,42.49211598816397,0.9425319277665974,1315804.793217367,19350.07048849069,36.09444020559534,8.318487002416564,12.073379941049833,13.485959986630144
26,Rural Minor Collector,All,24,2741.315,3930.7111018852847,114.22145833333333,163.7796292452202,1.750967851814876,49.558170911886876,43.38779388305558,93.49861742760027,88.99630763123587,0.5577397426851096,273726.61144743266,11405.275476976361,15.459188096313333,2.6580737145134474,3.790070239558026,3.844777702470238
27,Rural Local Road or Street,All,9,791.615,646.6405921143668,87.95722222222223,71.84895467937409,-0.41710291018377266,-16.10826754284814,-18.31375199884202,55.543877264380846,60.6911494535138,0.8217080826786547,21481.168685266446,2386.7965205851606,4.97,0.35498595771330405,0.6026910027574046,0.6098815004402336
28,Rural Ramps,All,11,1810.14652,2635.590031181737,164.55877454545455,239.59909374379424,1.4374492666399579,75.04031919833969,45.6009224701731,82.13699581713253,61.183998480516024,0.7165393495218887,200961.28681851993,18269.20789259272,1.788,0.4398566435873646,0.7540399604354823,0.7685188682035399
29,AADT < 5k,FSUTMS RMSE,275,54184.52682,67203.92147323626,197.03464298181817,245.2697863986725,3.7710619431883794,48.23514341685433,24.480539405096057,66.71940094254066,62.70542197947178,0.7110539065498092,4735218.479960494,17281.81926992881,89.33419476098601,17.575300638572635,29.659948113450003,30.850340136508557
30,AADT 5k to 10k,FSUTMS RMSE,71,43977.92515500001,47307.329632782996,619.407396549296,666.3004173631408,1.5519472493734159,46.89302081384483,7.570626549680347,35.43936817837741,31.366131086845687,0.3262486844215433,3421236.2429105467,48186.42595648657,11.414000000000001,8.022060661005415,15.24045066762402,17.372634232676322
31,AADT 10k to 15k,FSUTMS RMSE,20,21613.36838,21290.556897552946,1080.668419,1064.5278448776473,-0.21824519430788109,-16.140574122352746,-1.4935732217740272,25.327494574211418,21.01738804073258,0.45623462843886936,1498302.0636096587,74915.10318048294,4.599,5.01239258689325,8.232950207836275,10.835600551709007
32,AADT 15k to 20k,FSUTMS RMSE,5,7240.686,8492.951027872483,1448.1372,1698.5902055744966,2.8983845379252005,250.45300557449673,17.294839575593855,21.201414263770655,18.30880042829148,-0.05672436170874567,471323.49358921754,94264.69871784351,0.887,1.5142906085411623,2.2891689641367265,2.7069375291533597
33,AADT 20k to 30k,FSUTMS RMSE,7,13105.093166999999,12881.171275624152,1872.1561667142855,1840.1673250891647,-0.1962707565430692,-31.988841625120813,-1.7086631016077363,21.307129993684118,17.414594917215968,0.008051721334809265,1113863.8172405998,159123.40246294282,2.481,4.526677691397826,4.762438309005693,5.103488934012741
34,AADT 30k to 50k,FSUTMS RMSE,5,12039.364300000001,14275.787521115406,2407.8728600000004,2855.157504223081,1.86696525742061,447.2846442230807,18.575924487270505,21.29212735984429,18.254641919093242,0.8469837392693338,1314241.6250847972,262848.32501695945,3.4050000000000002,10.077355110360045,9.939116002632485,10.82908890628523
35,AADT 50k to 60k,FSUTMS RMSE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
