,Statistics
Population,"163,664"
Total Employment,"85,076"
Housing Units (HU),"65,162"
Person Trips (PrT),"728,184"
Vehicle Trips (PrT),"436,531"
Daily VMT,"3,985,393"
Daily Per Capita VMT,24.35
Daily VMT Per HU,61.16
AM VMT,"471,210"
AM VMT Per HU,7.23
PM VMT,"946,251"
PM VMT Per HU,14.52
OP VMT,"2,567,931"
OP VMT Per HU,39.41
PM Peak Hr VMT,"325,804"
PM Peak Hr VMT Per HU,5.00
Daily VHT,"89,457"
Daily Per Capita VHT,0.55
Daily VHT Per HU,1.37
AM VHT,"10,620"
AM VHT Per HU,0.16
PM VHT,"22,010"
PM VHT Per HU,0.34
OP VHT,"56,827"
OP VHT Per HU,0.87
PM Peak Hr VHT,"7,671"
PM Peak Hr VHT Per HU,0.12
Daily VHD,"5,145"
Daily Per Capita VHD,0.03
Daily VHD Per HU,0.08
AM VHD,620
AM VHD Per HU,0.01
PM VHD,"1,802"
PM VHD Per HU,0.03
OP VHD,"2,723"
OP VHD Per HU,0.04
PM Peak Hr VHD,673
PM Peak Hr VHD Per HU,0.01
