,Type,Item,NumObs,TotCnt,TotMod,AvgCnt,AvgMod,Tstat,AvgErr,PctErr,PctRMSE,MAPE,CorrCoef,SumSqErr,MeanSqErr,Miles,kVMT,kVHT_FF,kVHT_CTime
0,Areawide,All,383,207554.9195732,204881.50196673418,541.9188500605744,534.9386474327264,-0.14947526083163545,-6.98020262784803,-1.2880531147915963,49.447597048561676,53.41295192895047,0.9180653336120408,27501581.719453223,71805.69639543923,112.864194760986,57.80933067383908,84.07294790544469,90.72748643983624
1,Freeways,All,9,25915.112399999998,28365.30468543913,2879.456933333333,3151.7005206043477,0.6193075540444445,272.2435872710148,9.454685156754842,20.37751473754213,15.80508057911952,0.9163014605186878,3098604.277030752,344289.364114528,5.374999999999999,18.091449056168212,17.66189367306656,18.7786152114516
2,Non-Freeways,All,374,181639.8071732,176516.19728129506,485.66793361818185,471.9684419285964,-0.36959067526264616,-13.699491689585443,-2.8207527698041495,52.59520814272384,54.31795418068437,0.8746790994377525,24402977.44242247,65248.60278722585,107.48919476098601,39.71788161767086,66.4110542323781,71.94887122838465
3,Urban,All,247,153255.437815,145496.17291316076,620.4673595748989,589.0533316322297,-0.5479735843492581,-31.414027942669122,-5.062962210323494,47.54939223248405,55.69260535370029,0.8979153642993398,21499322.454157982,87041.79131238049,46.16856645907733,33.44019263702893,53.02289553583411,57.754439584328935
4,Rural,All,136,54299.4817582,59385.32905357346,399.2608952808824,436.65683127627545,0.476610475731726,37.395935995393074,9.366290672940764,52.61761329943459,49.27269901782393,0.9550227584850894,6002259.265295236,44134.25930364145,66.69562830190867,24.369138036810135,31.050052369610558,32.9730468555073
5,Interstates,All,6,17763.258,19162.735268738463,2960.543,3193.7892114564106,0.5996667329375447,233.2462114564105,7.878494298390886,18.18766473291946,14.11226790588227,0.7668848231304615,1739593.90300434,289932.31716738996,4.5169999999999995,14.908021844177343,14.021215245313837,14.961802810784476
6,Non-Interstate Freeway,All,3,8151.8544,9202.569416700662,2717.2848,3067.5231389002206,0.28246662735682143,350.2383389002207,12.889276048657862,24.769406420426144,19.190705925594024,0.9985761197201998,1359010.3740264126,453003.4580088042,0.8580000000000001,3.1834272119908666,3.6406784277527264,3.8168124006671245
7,Principal Arterial,All,16,22036.142547000003,21931.586616323137,1377.2589091875002,1370.724163520196,-0.024957236479313187,-6.534745667304151,-0.47447474281791047,27.711425130976146,15.69672321796678,0.8674929968497661,2330606.136403467,145662.8835252167,3.2569999999999997,4.697299707409024,7.316873402304999,8.147424013175257
8,Minor Arterial,All,138,91446.3346924,79777.48701178445,662.6545992202899,578.0977319694525,-1.344792485059399,-84.5568672508374,-12.760323002410445,46.51755716227155,44.87003927073641,0.8378171828822522,13112554.89979764,95018.51376664957,25.04,13.782511124653057,24.79480755711585,27.224312909465503
9,Major Collector,All,144,51317.936568799996,50370.072442405435,356.3745595055555,349.79216973892665,-0.13853707208619917,-6.582389766628864,-1.8470425542612987,56.65094618864477,54.08608121904882,0.8918626815291167,5869352.795177479,40759.394410954716,51.71700666467267,14.885461755046984,24.23999240235369,26.30156993228415
10,Minor Collector,All,25,3859.85,5220.843454065194,154.394,208.83373816260777,1.4475221776211658,54.43973816260777,35.26026799137775,83.2596597936669,76.578118122135,0.6516251062786403,413114.18789238785,16524.567515695515,15.911188096313332,3.479623586233215,4.967801347940866,5.035612642373894
11,Local Road or Street,All,25,3127.2450000000003,3421.95217974994,125.08980000000001,136.87808718999761,0.37164323449999875,11.788287189997604,9.423859651224642,71.59653049466026,101.14461836755156,0.7029238931698922,200524.64656257987,8020.985862503195,8.112,0.870733151836047,1.6591470212469321,1.6919407501512898
12,Ramps,All,26,9852.298364999999,15794.255576966914,378.93455249999994,607.4713683448813,2.5687864121544552,228.53681584488135,60.31036608752679,81.45106369123002,63.08606788237168,0.940779479449223,2476824.7765889107,95262.4914072658,3.452,2.002252292492535,3.432432501415774,3.5480109809345457
13,Urban Interstates,All,2,6370.721,8111.955597274917,3185.3605,4055.9777986374584,8.566315792566732,870.6172986374586,27.331829431471213,27.47947579510883,27.32276967618987,1.0,1532371.49181638,766185.74590819,2.145,8.700375652132784,8.700375652132784,9.474948628322549
14,Urban Non-Interstate Freeway,All,3,8151.8544,9202.569416700662,2717.2848,3067.5231389002206,0.28246662735682143,350.2383389002207,12.889276048657862,24.769406420426144,19.190705925594024,0.9985761197201998,1359010.3740264126,453003.4580088042,0.8580000000000001,3.1834272119908666,3.6406784277527264,3.8168124006671245
15,Urban Principal Arterial,All,14,17317.949388,16394.06366834932,1236.9963848571429,1171.0045477392373,-0.2994097475243148,-65.99183711790556,-5.33484478416861,23.614285029187794,14.16087067053226,0.8755478829438254,1194577.961789717,85326.99727069408,2.8179999999999996,3.3059471815550268,5.626592836910256,6.306458209692954
16,Urban Minor Arterial,All,120,85767.170602,73680.72638318535,714.7264216833333,614.0060531932112,-1.4471164726362542,-100.72036849012215,-14.09215686372755,45.86695113894079,48.01524213947094,0.8314486540592663,12896167.519225147,107468.06266020956,19.467,11.939501740037308,22.374890838056615,24.757444996111786
17,Urban Major Collector,All,76,25983.579999999994,22880.070316020898,341.8892105263157,301.05355678974865,-0.9657638506689945,-40.83565373656705,-11.944118878072603,52.14403660684601,62.1033539119297,0.7780940048542148,2415425.6788499053,31781.916826972436,15.62256645907733,4.210012536510974,8.936359886226267,9.52547029674095
18,Urban Minor Collector,All,1,275.85,503.4312750163634,275.85,503.4312750163634,,227.58127501636335,82.50182164812881,82.50182164812881,82.50182164812881,0.0,51793.23673807361,51793.23673807361,0.45199999999999996,0.22755093630739623,0.34132640446109436,0.3487333134340205
19,Urban Local Road or Street,All,16,2209.17,2951.0147986682205,138.073125,184.43842491676378,1.146985837933297,46.365299916763774,33.58024953571796,67.13231825166127,121.50912303189119,0.7853408966364196,137467.9894162685,8591.749338516782,3.142,0.5682822042962727,1.16536547738299,1.195160381269416
20,Urban Ramps,All,15,7179.142425,11772.341457944989,478.609495,784.8227638629993,2.93867826233995,306.2132688629993,63.979773084735676,74.60616449473302,62.4847954430534,0.9228851167428448,1912508.202296079,127500.54681973859,1.6639999999999997,1.3050951741983068,2.237306012911383,2.329411358090138
21,Rural Interstates,All,4,11392.537,11050.779671463548,2848.13425,2762.694917865887,-0.20249662807640445,-85.4393321341131,-2.999835142395872,7.991492740917868,7.507017020728468,0.9177020489546497,207222.41118795992,51805.60279698998,2.372,6.207646192044559,5.32083959318105,5.486854182461928
22,Rural Non-Interstate Freeway,All,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Rural Principal Arterial,All,2,4718.193159,5537.5229479738155,2359.0965795,2768.7614739869077,0.5969575706072817,409.66489448690754,17.36532950989799,31.94727590661737,26.447691050008398,1.0000000000000002,1136028.1746137503,568014.0873068752,0.4389999999999999,1.3913525258539972,1.6902805653947426,1.8409658034823049
24,Rural Minor Arterial,All,18,5679.1640904,6096.760628599097,315.5091161333333,338.7089238110609,0.29528145135902745,23.19980767772762,7.353133868855772,34.751039516912876,23.902020145839543,0.9022718360754763,216387.38057249447,12021.52114291636,5.5729999999999995,1.8430093846157507,2.419916719059235,2.466867913353715
25,Rural Major Collector,All,68,25334.356568799998,27490.002126384526,372.56406718823524,404.2647371527136,0.3572172719881496,31.70066996447838,8.50878352379105,60.4924483165772,45.125599974064315,0.9413210275853824,3453927.116327574,50793.04582834668,36.09444020559534,10.675449218536011,15.303632516127424,16.7760996355432
26,Rural Minor Collector,All,24,3583.9999999999995,4717.412179048831,149.33333333333331,196.55884079370128,1.2873138430486721,47.225507460367965,31.62422374578212,82.16449536759096,76.33129714188526,0.6233739331283527,361320.9511543143,15055.039631429761,15.459188096313333,3.252072649925819,4.6264749434797725,4.686879328939874
27,Rural Local Road or Street,All,9,918.075,470.93738108171954,102.00833333333334,52.32637567574662,-1.3105621114040995,-49.68195765758672,-48.70382255461487,82.05566418870009,64.94105451983661,0.7180387689897604,63056.657146311336,7006.295238479037,4.97,0.30245094753977425,0.4937815438639422,0.49678036888187344
28,Rural Ramps,All,11,2673.15594,4021.914119021927,243.01417636363638,365.62855627472067,1.0879289600513733,122.61437991108428,50.45564902666797,93.2037639381389,63.905984845078414,0.9109487070276443,564316.5742928318,51301.5067538938,1.788,0.6971571182942284,1.1951264885043913,1.2185996228444083
29,AADT < 5k,FSUTMS RMSE,275,71466.0378112,73019.72668373432,259.87650113163636,265.52627884994297,0.3331520915152529,5.649777718306609,2.1740240820945957,66.96980648033703,62.04325671135835,0.6269789530085804,8329612.606801549,30289.50038836927,90.07819476098601,19.575625623651298,32.44498458697284,33.39944738521245
30,AADT 5k to 10k,FSUTMS RMSE,71,61497.838245,53165.6455426559,866.1667358450704,748.8119090514915,-2.410285358153192,-117.35482679357892,-13.548757062239568,41.700027335528816,36.152249550032586,0.31195233869140976,9262623.900101067,130459.49155071926,11.414000000000001,9.357659570961331,17.32914653798257,18.906916565322515
31,AADT 10k to 15k,FSUTMS RMSE,20,28593.244218000003,28873.356965161558,1429.6622109000002,1443.6678482580778,0.10193117839442951,14.005637358077593,0.9796466082194878,29.79849544434494,25.71271015781951,0.6331016213345528,3629823.8088461743,181491.19044230873,4.599,6.97707077890014,11.120288893929802,13.484692767128331
