,Type,Item,NumObs,TotCnt,TotMod,AvgCnt,AvgMod,Tstat,AvgErr,PctErr,PctRMSE,MAPE,CorrCoef,SumSqErr,MeanSqErr,Miles,kVMT,kVHT_FF,kVHT_CTime
0,Areawide,All,385,1769218.156736,1748358.7598557211,4595.371835677922,4541.191584040834,-0.13579418477870306,-54.18025163708808,-1.179017793869019,43.74911695848899,46.6843835822506,0.9363446725305626,1556111201.6952424,4041847.2771305,113.81619476098601,494.41298603295803,718.2261190955584,779.4321525149335
1,Freeways,All,9,234867.3111,244189.7469707959,26096.367899999997,27132.194107866213,0.25924123122447595,1035.8262078662156,3.9692351511729558,11.242307947739647,8.27661437904058,0.9750291923302523,77466439.70002146,8607382.188891273,5.374999999999999,158.4707702663443,153.87014495607673,163.62364670977323
2,Non-Freeways,All,376,1534350.845636,1504169.0128849251,4080.720334138298,4000.449502353524,-0.260170490385465,-80.27083178477369,-1.9670750556770027,48.596072356083795,47.603718483391255,0.8922325629651408,1478644761.9952207,3932565.856370268,108.44119476098601,335.9422157666138,564.3559741394816,615.8085058051604
3,Urban,All,247,1304617.751631,1240294.7036633776,5281.853245469636,5021.436047220152,-0.5308279138986933,-260.4171982494836,-4.930413363393791,41.517252677051694,46.78095270161325,0.921637705566262,1187754893.280789,4808724.264294692,46.16856645907733,285.9646490846865,454.265806170217,498.9257444436732
4,Rural,All,138,464600.405105,508064.05619234365,3366.669602210145,3681.623595596693,0.4717408724412422,314.95399338654806,9.355060953405932,48.528181247715274,46.51153885411598,0.9642490491270896,368356308.4144532,2669248.611698936,67.64762830190867,208.4483369482715,263.96031292534144,280.50640807126047
5,Interstates,All,6,166779.66,172536.23617372953,27796.61,28756.039362288255,0.26526786897069965,959.4293622882542,3.4516056536687536,7.299062544671107,4.790957046102841,0.9634025370588025,24698415.249130145,4116402.541521691,4.5169999999999995,133.4462007818809,125.35487641115755,133.70848782948173
6,Non-Interstate Freeway,All,3,68087.6511,71653.51079706638,22695.883700000002,23884.503599022126,0.11354325069844952,1188.6198990221237,5.237160688403262,18.47896712751036,15.247929044916065,0.9968554453979769,52768024.45089131,17589341.483630437,0.8580000000000001,25.024569484463377,28.515268544919184,29.915158880291532
7,Principal Arterial,All,16,195095.02525,188524.56325909708,12193.439078125,11782.785203693567,-0.18238265054192415,-410.653874431433,-3.367826515557412,20.111885850558018,11.68229560917904,0.9245010827469341,96222801.91745912,6013925.119841195,3.2569999999999997,39.78930238350075,62.62097175384097,70.90951747905439
8,Minor Arterial,All,139,749258.5644670001,680809.6955119043,5390.349384654677,4897.911478502909,-0.9441406656276035,-492.4379061517684,-9.135547086310353,43.610973590045205,38.23546075359206,0.8597282954806819,768139672.356763,5526184.693214122,25.644,117.9852907172293,212.5374996738699,235.55549766719565
9,Major Collector,All,145,440657.99789,430497.1336428081,3039.0206751034484,2968.9457492607457,-0.1813828917397989,-70.07492584270267,-2.3058390624577543,58.25601555126014,45.99518135762045,0.8872791761554283,454482187.5520559,3134359.9141521095,52.065006664672666,125.23547199124083,204.92763213335624,223.18576637485685
10,Minor Collector,All,25,32121.02,42945.721759306594,1284.8408,1717.8288703722637,1.4044773294394788,432.9880703722638,33.699744775560035,90.97340364424633,79.28264657154911,0.5181925508720806,34156041.615524404,1366241.6646209762,15.911188096313332,28.45219947531146,40.645742068954306,41.214849020790844
11,Local Road or Street,All,25,29204.555,30629.156771257592,1168.1822,1225.1662708503036,0.1915063110835985,56.984070850303624,4.87801225273794,70.6463894680842,94.56961164041176,0.6889781693039492,17027116.991446134,681084.6796578453,8.112,7.69938994223665,14.85745206872636,15.204178537863404
12,Ramps,All,26,88013.68302899999,130762.74194055132,3385.1416549615383,5029.3362284827435,2.3965002483540756,1644.1945735212053,48.57092379313995,60.3789093571356,53.14402396557555,0.9520235948113442,108616941.5619722,4177574.6754604694,3.452,16.78056125709479,28.766676440733917,29.738696725399198
13,Urban Interstates,All,2,65306.659999999996,71612.03415827734,32653.329999999998,35806.01707913867,3.1058037032852672,3152.687079138672,9.655024706940065,10.255348164959873,9.667975228440955,-1.0,22427753.212365065,11213876.606182532,2.145,76.80693018681743,76.80693018681743,83.64508253014884
14,Urban Non-Interstate Freeway,All,3,68087.6511,71653.51079706638,22695.883700000002,23884.503599022126,0.11354325069844952,1188.6198990221237,5.237160688403262,18.47896712751036,15.247929044916065,0.9968554453979769,52768024.45089131,17589341.483630437,0.8580000000000001,25.024569484463377,28.515268544919184,29.915158880291532
15,Urban Principal Arterial,All,14,153214.83393000002,141838.35627294023,10943.916709285715,10131.311162352873,-0.4188724897471436,-812.6055469328421,-7.425180294394611,20.982598309653074,11.8640021263872,0.9147626215448896,73823074.30117173,5273076.735797981,2.8179999999999996,28.370698475481813,48.610135912168055,55.49689446574092
