,Type,Item,NumObs,TotCnt,TotMod,AvgCnt,AvgMod,Tstat,AvgErr,PctErr,PctRMSE,MAPE,CorrCoef,SumSqErr,MeanSqErr,Miles,kVMT,kVHT_FF,kVHT_CTime
0,Areawide,All,383,1128465.2256647001,1112639.7492309366,2946.3844012133163,2905.064619401923,-0.1569642656398831,-41.31978181139311,-1.4023893757507573,45.294432948160804,48.671899670418576,0.9349440577274452,682130142.913353,1781018.6499043158,112.864194760986,314.88637108545976,455.4358574271532,495.00172393894627
1,Freeways,All,9,156875.63700000002,158193.12641987953,17430.626333333334,17577.01404665328,0.05432565113401914,146.38771331994576,0.8398304829700942,9.986164237601853,8.812031467219182,0.976176474914736,27268792.297318287,3029865.810813143,5.374999999999999,103.29844833379131,100.15962289737318,106.5135368723247
2,Non-Freeways,All,374,971589.5886646999,954446.6228110569,2597.8331247719248,2551.9963176766228,-0.22679659081231565,-45.83680709530199,-1.7644246144303903,50.93632741561149,49.63109435980038,0.8888386334229988,654861350.6160346,1750966.1781177397,107.48919476098601,211.58792275166851,355.27623452978,388.4881870666215
3,Urban,All,247,832757.7846816999,790164.0343093192,3371.489006808502,3199.044673317082,-0.5368440153703531,-172.4443334914199,-5.114782612168684,42.79213778467187,48.57884925785158,0.920721518077797,514124636.72775155,2081476.2620556743,46.16856645907733,183.47341741064534,289.89246487302256,318.6256652582113
4,Rural,All,136,295707.440983,322475.7149216173,2174.319418992647,2371.1449626589506,0.43944348054677185,196.82554366630347,9.05228284064592,51.11742388146585,48.84089564030129,0.9612291553796938,168005506.18560135,1235334.6043058923,66.69562830190867,131.41295367481442,165.5433925541306,176.37605868073499
5,Interstates,All,6,112177.86,112933.6593186202,18696.31,18822.276553103366,0.0519218670429875,125.96655310336428,0.6737508797370404,5.882864334509662,4.429268302627842,0.9667493546603961,7258396.986240047,1209732.8310400078,4.5169999999999995,87.3636203973413,82.07220376159663,87.54396354829684
6,Non-Interstate Freeway,All,3,44697.777,45259.46710125937,14899.259,15086.489033753123,0.0269555131838368,187.23003375312328,1.2566399023812076,17.334149468416246,17.577557796401862,0.9971294271924669,20010395.31107824,6670131.770359413,0.8580000000000001,15.934827936450016,18.08741913577655,18.96957332402787
7,Principal Arterial,All,16,127084.07799300001,122143.35322417335,7942.754874562501,7633.959576510834,-0.20953143267804675,-308.7952980516666,-3.8877606438619385,19.343785285420253,11.972851503694262,0.9320477123420219,37769847.212466925,2360615.450779183,3.2569999999999997,25.710466730076927,40.51684139574661,45.972692205373406
8,Minor Arterial,All,138,469772.72022799996,429920.6440020421,3404.15014657971,3115.3669855220446,-0.8470737631273519,-288.78316105766544,-8.483267441884658,46.136753138574214,39.729919902448096,0.8518253567543839,340400787.9177098,2466672.3762152884,25.04,74.07668962234858,133.57735169946392,148.2433870611287
9,Major Collector,All,144,278077.520775,271450.325171265,1931.0938942708333,1885.0717025782292,-0.17972088780440773,-46.02219169260411,-2.3832187460766505,62.42199077284402,47.80996572149252,0.8854243827709484,209239899.99288887,1453054.8610617283,51.71700666467267,78.66451883767783,128.36032599684336,140.25135130492927
10,Minor Collector,All,25,20058.13,26500.884180563447,802.3252,1060.0353672225378,1.3252961046999894,257.71016722253785,32.12041292265753,95.15926155067834,82.69726374600513,0.45963474913052005,14572799.884210883,582911.9953684353,15.911188096313332,17.43005054800869,24.88948674928545,25.239124466192287
11,Local Road or Street,All,25,18887.395,19174.78026487668,755.4958,766.9912105950673,0.05891822761942763,11.495410595067256,1.5215717407121594,74.70846027790938,100.94722130772755,0.6582440112830028,7964228.080854022,318569.1232341609,8.112,4.776084685465986,9.194893268856983,9.408751138200964
12,Ramps,All,26,57709.7446687,85256.63596813644,2219.6055641807693,3279.1013833898633,2.336984163152382,1059.495819209094,47.733517896462004,59.21440384113324,54.30721268192915,0.9515854621646626,44913787.527904056,1727453.3664578483,3.452,10.930112328090491,18.737335419583694,19.372880890796917
13,Urban Interstates,All,2,44049.020000000004,46919.42245457993,22024.510000000002,23459.711227289965,1.6133656544345953,1435.2012272899628,6.5163821001691415,7.272519704369981,6.492799584332248,1.0000000000000002,5131121.742215707,2565560.8711078535,2.145,50.32370394712864,50.32370394712864,54.80445359418249
14,Urban Non-Interstate Freeway,All,3,44697.777,45259.46710125937,14899.259,15086.489033753123,0.0269555131838368,187.23003375312328,1.2566399023812076,17.334149468416246,17.577557796401862,0.9971294271924669,20010395.31107824,6670131.770359413,0.8580000000000001,15.934827936450016,18.08741913577655,18.96957332402787
15,Urban Principal Arterial,All,14,99864.971283,91868.61623854033,7133.212234500001,6562.044017038595,-0.4472993379671897,-571.1682174614061,-8.007167019353966,20.257204298387613,12.228374006998036,0.924312716692527,29231920.12946508,2087994.2949617915,2.8179999999999996,18.3049265945049,31.430513853000296,35.97892609524522
16,Urban Minor Arterial,All,120,441854.26437999995,398602.9084545537,3682.118869833333,3321.6909037879473,-0.9518690741167817,-360.4279660453858,-9.788602127929135,45.49028032842855,42.38736753393622,0.8455736756227756,336677490.7616923,2805645.7563474355,19.467,64.61827205256881,121.16315167479063,135.58957537580176
17,Urban Major Collector,All,76,143911.895,124111.3367024913,1893.5775657894735,1633.0439039801488,-1.1427885831130655,-260.5336618093247,-13.75880589822591,54.857029464904066,50.5738450669806,0.7423201852352148,82005761.32041182,1079023.1752685765,15.62256645907733,22.504197245723585,47.799249436877204,51.430379837587495
