,Type,Item,NumObs,TotCnt,TotMod,AvgCnt,AvgMod,Tstat,AvgErr,PctErr,PctRMSE,MAPE,CorrCoef,SumSqErr,MeanSqErr,Miles,kVMT,kVHT_FF,kVHT_CTime
0,Areawide,All,383,427797.0252077,425207.66193147784,1116.9635122916447,1110.202772667044,-0.0734026244198181,-6.760739624600774,-0.6052784670405161,43.030181367470384,45.69936754336802,0.9305939310156103,88475515.09948125,231006.56683937664,112.864194760986,119.10167085787162,175.25852070176043,190.2063738661554
1,Freeways,All,9,52076.5707,57631.31586547723,5786.285633333333,6403.4795406085805,0.6920423345002864,617.1939072752475,10.666495682821964,14.756433668086547,11.087679429612034,0.9679173882353314,6561529.201346796,729058.800149644,5.374999999999999,37.08087287638474,36.04862838563699,38.331494625996925
2,Non-Freeways,All,374,375720.4545077,367576.34606600064,1004.6001457425134,982.8244547219268,-0.3021206434875607,-21.775691020586578,-2.1675978361014345,46.58541745484823,46.532269128993164,0.8872817712889383,81913985.89813447,219021.35266880874,107.48919476098601,82.02079798148688,139.20989231612347,151.87487924015846
3,Urban,All,247,318604.5380357,304634.49644089746,1289.8969151242914,1233.3380422708399,-0.497760363895805,-56.558872853451476,-4.38475913774874,41.22442158975579,45.047293343612296,0.912702594321517,69841909.27873692,282760.76631067577,46.16856645907733,69.05103903701226,111.35044576136033,122.54563960113295
4,Rural,All,136,109192.487172,120573.16549058033,802.8859350882352,886.5673933130906,0.5498104172599758,83.68145822485542,10.422583653263153,46.10257126326695,46.883649362042036,0.9673298911464742,18633605.820744343,137011.80750547312,66.69562830190867,50.05063182085937,63.9080749404001,67.66073426502241
5,Interstates,All,6,36838.551,40439.84158637088,6139.7585,6739.97359772848,0.7065636228033839,600.21509772848,9.775874698141303,11.483567612526924,10.144566002632905,0.9633446624773693,2982685.6993553666,497114.28322589444,4.5169999999999995,31.17455854036225,29.26145740424707,31.202721470400384
6,Non-Interstate Freeway,All,3,15238.0197,17191.47427910635,5079.3399,5730.491426368783,0.28494682699126656,651.1515263687834,12.819609224592027,21.503217637510154,12.97390628357029,0.9946492821806109,3578843.50199143,1192947.8339971432,0.8580000000000001,5.906314336022497,6.7871709813899095,7.128773155596534
7,Principal Arterial,All,16,45974.801606,44449.62341860059,2873.425100375,2778.101463662537,-0.18241763023208762,-95.32363671246321,-3.3174220097131775,21.09852711746507,13.579347264931984,0.9125009165271865,5880632.255653985,367539.51597837405,3.2569999999999997,9.3815359460148,14.78725695578936,16.789401260505713
8,Minor Arterial,All,138,185594.51742500003,168547.39748659235,1344.8878074275365,1221.3579528013938,-1.0009693557650654,-123.52985462614265,-9.185141983138882,42.03515831560117,37.368220043488485,0.8547970687109973,44103857.26469988,319593.1685847817,25.04,28.577333095290427,52.30683216736545,58.219735529074654
9,Major Collector,All,144,108306.54048,105611.05631405071,752.1287533333333,733.4101132920189,-0.21559792658244623,-18.718640041314416,-2.4887547455613053,53.69263063377604,45.36765281743806,0.8689806683180624,23484225.424093813,163084.89877842925,51.71700666467267,30.618634857665725,50.72702892288375,55.00433903517451
10,Minor Collector,All,25,8203.039999999999,11223.994124677962,328.12159999999994,448.9597649871185,1.5327233965317226,120.83816498711855,36.82725092987434,89.9025028320168,78.61921852794029,0.5511189753837202,2175470.5810439065,87018.82324175625,15.911188096313332,7.5425253410695525,10.788453971728,10.940111912224673
11,Local Road or Street,All,25,7189.915,8032.424326630971,287.5966,321.29697306523883,0.4551190688533792,33.70037306523881,11.717931667216792,69.43528115075898,84.50960913333323,0.7129872969264978,996937.4263371065,39877.49705348426,8.112,2.0525721049346166,4.003411778622445,4.103486649511151
12,Ramps,All,26,20451.6399967,29711.85039544797,786.6015383346154,1142.763476747999,2.320392375379822,356.1619384133836,45.27857130402338,57.250828537153495,54.53161672154619,0.9244626184535648,5272862.9463057825,202802.42101176086,3.452,3.8481966365117604,6.596908519734447,6.8178048536677345
13,Urban Interstates,All,2,14886.92,16580.656106422495,7443.46,8290.328053211248,2.770793432066766,846.8680532112476,11.377344047140008,12.241272387734348,11.581095861478346,-1.0,1660476.8953217613,830238.4476608806,2.145,17.78285058755599,17.782850587555995,19.365680307643792
14,Urban Non-Interstate Freeway,All,3,15238.0197,17191.47427910635,5079.3399,5730.491426368783,0.28494682699126656,651.1515263687834,12.819609224592027,21.503217637510154,12.97390628357029,0.9946492821806109,3578843.50199143,1192947.8339971432,0.8580000000000001,5.906314336022497,6.7871709813899095,7.128773155596534
15,Urban Principal Arterial,All,14,36031.913259,33575.67636605057,2573.7080899285716,2398.2625975750407,-0.3896129691913427,-175.44549235353088,-6.816837272264238,23.81671524146592,14.270307670777454,0.8871215938105497,5260297.895351779,375735.5639536985,2.8179999999999996,6.759824699421889,11.553029222257514,13.211510160802744
16,Urban Minor Arterial,All,120,173490.52411,156677.31606627133,1445.7543675833333,1305.644300552261,-1.0264229208821443,-140.11006703107228,-9.691139115510667,41.723123821364894,40.372136629220996,0.8452038469279864,43664038.91806884,363866.990983907,19.467,24.935688429654437,47.546555698339624,53.37022465501117
17,Urban Major Collector,All,76,57605.245,50903.767194371096,757.96375,669.7864104522513,-1.0226949193616999,-88.17733954774872,-11.633450748501984,50.108263150795366,47.736331979856,0.755367773261246,10962993.657840425,144249.9165505319,15.62256645907733,9.348710129826644,19.88451059701393,21.385950263067038
18,Urban Minor Collector,All,1,517.05,980.6986674394918,517.05,980.6986674394918,,463.6486674394919,89.67192098239859,89.67192098239859,89.67192098239859,0.0,214970.08681841654,214970.08681841654,0.45199999999999996,0.44327579768265024,0.6649136965239756,0.6828495116420615
19,Urban Local Road or Street,All,16,5030.535,6603.809072385453,314.4084375,412.7380670240908,1.0447598789773447,98.32962952409082,31.27448814858565,73.57401948099533,104.20394681128981,0.672160882926631,856164.7305044794,53510.29565652996,3.142,1.287468054008163,2.6967172591251365,2.783357711118002
20,Urban Ramps,All,15,15804.3309667,22121.098688850692,1053.6220644466666,1474.739912590046,2.343936242264201,421.11784814337943,39.9685866833606,46.78062961203119,42.35070279793817,0.9082838045829459,3644123.5928397956,242941.57285598636,1.6639999999999997,2.586907002839983,4.434697719154255,4.617293836251602
21,Rural Interstates,All,4,21951.630999999998,23859.185479948384,5487.907749999999,5964.796369987096,0.5460658186472275,476.8886199870967,8.689807513384254,10.476427797898511,9.426301073210187,0.9587444872169538,1322208.8040336051,330552.2010084013,2.372,13.391707952806259,11.478606816691078,11.83704116275659
22,Rural Non-Interstate Freeway,All,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Rural Principal Arterial,All,2,9942.888347,10873.947052550011,4971.4441735,5436.9735262750055,0.42404764191710537,465.52935277500546,9.36406678881125,11.202510353501555,8.742624424013696,1.0,620334.3603022066,310167.1801511033,0.4389999999999999,2.6217112465929118,3.2342277335318452,3.577891099702975
24,Rural Minor Arterial,All,18,12103.993315,11870.081420321054,672.4440730555556,659.4489677956141,-0.0930929140929836,-12.99510525994151,-1.932518372999012,23.245786686035043,17.342109471938468,0.9275911141284959,439818.34663103835,24434.35259061324,5.5729999999999995,3.641644665635992,4.760276469025826,4.8495108740634825
25,Rural Major Collector,All,68,50701.29548,54707.28911967961,745.6072864705883,804.5189576423472,0.3754139042162254,58.91167117175894,7.901166235998527,57.55180212722517,42.720305518265086,0.9280608747839786,12521231.766253386,184135.76126843214,36.09444020559534,21.269924727839072,30.842518325869825,33.61838877210747
26,Rural Minor Collector,All,24,7685.99,10243.29545723847,320.2495833333333,426.8039773849362,1.3581658324847032,106.55439405160291,33.2722974820221,89.2461076110884,78.1586892590045,0.5306270026831853,1960500.49422549,81687.52059272875,15.459188096313333,7.099249543386903,10.123540275204025,10.257262400582611
27,Rural Local Road or Street,All,9,2159.38,1428.615254245519,239.93111111111114,158.7350282495021,-0.7901400866054932,-81.19608286160903,-33.84141493180826,52.125639224671836,49.49745326141045,0.8938796880454826,140772.6958326271,15641.410648069677,4.97,0.7651040509264534,1.3066945194973074,1.3201289383931483
28,Rural Ramps,All,11,4647.309029999999,7590.75170659728,422.48263909090906,690.068336963389,1.93660952330933,267.58569787247995,63.33649554174966,91.0794889274216,71.1419538901026,0.8336965972332907,1628739.3534659876,148067.21395145342,1.788,1.261289633671778,2.162210800580191,2.200511017416131
29,AADT < 5k,FSUTMS RMSE,275,150112.9791717,157714.82101251456,545.8653788061818,573.5084400455074,0.8301765040562513,27.643061239325675,5.0640803232074525,60.33378426806158,53.383151046055524,0.6741558060446509,29828054.4080843,108465.65239303382,90.07819476098601,42.2516754698791,70.70308584132857,72.99205234093233
30,AADT 5k to 10k,FSUTMS RMSE,71,124619.684235,113458.38691697706,1755.2068202112675,1598.0054495348882,-1.9214351247135633,-157.20137067637938,-8.956287593359377,34.30692757982083,29.508613613633756,0.3263882617624229,25744152.28610107,362593.6941704376,11.414000000000001,19.34034844759844,36.52594516887419,40.45873325234479
31,AADT 10k to 15k,FSUTMS RMSE,20,59613.746607,55521.63534722461,2980.68733035,2776.0817673612305,-0.9560370103088388,-204.60556298876963,-6.86437523672583,30.20096010897105,24.127945264326677,0.2029281408517889,16207063.66786065,810353.1833930325,4.599,13.15524835593214,21.434209655425995,26.41411284814149
32,AADT 15k to 20k,FSUTMS RMSE,5,20543.423,23227.05611055067,4108.6846,4645.411222110134,1.9873762811088393,536.7266221101345,13.063222767455418,17.83141967459308,14.091864624594477,0.1492277538018614,2683783.360575499,536756.6721150998,0.887,3.9660753435563176,6.11201491198234,7.083045315066738
33,AADT 20k to 30k,FSUTMS RMSE,7,37713.687894,35635.74028118735,5387.669699142857,5090.820040169621,-0.7380109294867309,-296.8496589732358,-5.509796916846306,19.954227501857705,15.768089540770003,-0.09996900466674338,8090396.45791829,1155770.9225597556,2.481,12.8610769247908,13.39562108934572,14.221040299409491
34,AADT 30k to 50k,FSUTMS RMSE,5,35193.5043,39650.02226302355,7038.70086,7930.00445260471,1.7341884155846083,891.3035926047105,12.662899167513569,15.461765112980066,12.796961936358592,0.6685103221158669,5922064.918941455,1184412.983788291,3.4050000000000002,27.527246316114827,27.087644034803613,29.03738981026051
