,Type,Item,NumObs,TotCnt,TotMod,AvgCnt,AvgMod,Tstat,AvgErr,PctErr,PctRMSE,MAPE,CorrCoef,SumSqErr,MeanSqErr,Miles,kVMT,kVHT_FF,kVHT_CTime
0,Areawide,All,383,152160.96382200002,170962.97026309185,397.2871118067886,447.5470425735389,1.5256071179774802,50.2599307667503,12.650783091899811,45.606427012342586,52.48272636951201,0.929775854801563,12540776.110010523,32829.25683248828,112.120194760986,46.66743417001353,70.0157507406316,77.49838085836637
1,Freeways,All,9,17732.5642,20611.715783817563,1970.2849111111111,2290.1906426463956,0.9682216304675417,319.90573153528453,16.23652141531545,20.2177525288509,14.880919413576049,0.9740291286041559,1428125.3395197513,158680.59327997235,5.374999999999999,13.365058118736085,13.043492416039873,14.058639023916868
2,Non-Freeways,All,373,134393.249622,150351.25447927427,360.30361828954426,403.08647313478355,1.6223565472024777,42.782854845239285,11.87411190826801,47.905545933490416,53.39000857488312,0.8936007248710256,11112650.770490771,29792.629411503407,106.74519476098601,33.30237605127744,56.97225832459172,63.439741834449485
3,Urban,All,246,112889.4752917,126139.16797536527,458.9003060638211,512.7608454283142,1.309909089996829,53.860539364493036,11.736871528039998,44.485746097274905,54.558311642344,0.9096325193452138,10252117.130528722,41675.27288832814,45.424566459077326,27.923384434544097,45.8062635761602,51.580183019684775
4,Rural,All,136,39236.3385303,44823.802287726576,288.50248919338236,329.5867815274013,0.7791414658268773,41.084292334018926,14.24053305359187,44.96468176358179,48.72835889071299,0.9706151865826061,2288658.9794818014,16828.374849130894,66.69562830190867,18.74404973546943,24.209487164471394,25.918197838681596
5,Interstates,All,6,12457.012,14290.76932523482,2076.168666666667,2381.7948875391367,0.9078137447081633,305.62622087246973,14.72068362168085,17.34153256835653,14.352820225681931,0.9621437002491663,777770.5003224945,129628.41672041576,4.5169999999999995,11.200501949691002,10.55361934385405,11.421723827997013
6,Non-Interstate Freeway,All,3,5275.5522,6320.946458582742,1758.5174,2106.982152860914,0.42118445268245663,348.46475286091413,19.815826267110815,26.47694606855461,15.937117789364288,0.9947656250894144,650354.8391972567,216784.94639908557,0.8580000000000001,2.164556169045083,2.489873072185823,2.6369151959198565
7,Principal Arterial,All,16,16125.015126999999,18013.968073784825,1007.8134454374999,1125.8730046115516,0.6277023994731449,118.05955917405163,11.714425889882927,27.05088375885325,38.086097370423985,0.8864755004742698,1189167.9483448241,74322.99677155151,3.2569999999999997,3.9081595916621437,6.176825843949662,7.257088861510008
8,Minor Arterial,All,138,66157.21416830001,69410.79104631246,479.40010266884065,502.9767467124091,0.5363527307202479,23.57664404356848,4.917947224524213,41.660858193163016,42.311716689484236,0.8517311401721521,5504675.9217667645,39888.955954831625,25.04,11.637378303563667,21.46074519256768,24.402330048508208
9,Major Collector,All,143,39076.473725,43810.468347796465,273.26205402097906,306.3669115230522,1.02676152675716,33.104857502073116,12.114692477401773,52.10227526817854,47.056303869338464,0.8918211385628428,2898732.0507382317,20270.853501665955,50.97300666467267,12.548686564796773,20.98297412168884,23.208843430315987
10,Minor Collector,All,25,2942.015,4361.039607652481,117.6806,174.44158430609926,1.8920717065381616,56.76098430609926,48.23308540753469,99.7322103819082,89.49593432705339,0.5799018794269633,344366.30097908503,13774.652039163402,15.911188096313332,2.857216417450235,4.091851345121824,4.157580703786576
11,Local Road or Street,All,25,2632.7200000000003,3583.2345617987376,105.3088,143.32938247194951,1.2921486808332132,38.02058247194951,36.10389869787663,91.2257674435901,119.15414520836423,0.6499837677422307,230730.17093287868,9229.206837315147,8.112,0.9188059132879949,1.8047830889494996,1.8611909722838955
12,Ramps,All,26,7459.811601699999,11171.752841929321,286.91583083461535,429.6828016126662,2.4362623975513555,142.76697077805085,49.759182113706686,66.44613898020346,58.49135752519056,0.9135072571501255,944978.3777289876,36345.322220345675,3.452,1.4321292605166265,2.455078732314217,2.552707818044819
13,Urban Interstates,All,2,5139.8009999999995,6221.243618943842,2569.9004999999997,3110.621809471921,5.112044847404795,540.7213094719214,21.040554273284954,21.537748552394223,21.263874577307355,-1.0000000000000002,612721.6389324421,306360.81946622103,2.145,6.67232370883234,6.67232370883234,7.419144428495969
14,Urban Non-Interstate Freeway,All,3,5275.5522,6320.946458582742,1758.5174,2106.982152860914,0.42118445268245663,348.46475286091413,19.815826267110815,26.47694606855461,15.937117789364288,0.9947656250894144,650354.8391972567,216784.94639908557,0.8580000000000001,2.164556169045083,2.489873072185823,2.6369151959198565
15,Urban Principal Arterial,All,14,12761.18036,14129.72524485771,911.5128828571429,1009.2660889184078,0.563460863344169,97.7532060612649,10.724281345849644,29.059323798482747,41.49696554416099,0.8578164192302149,982255.9456506838,70161.13897504885,2.8179999999999996,2.9485044739103032,5.003726358609322,5.961987868598583
16,Urban Minor Arterial,All,120,61710.406650000004,64665.80051224158,514.25338875,538.8816709353465,0.5091268164894373,24.628282185346507,4.78913366914522,41.4510551811927,45.23174227936986,0.8394457846528631,5452639.073892137,45438.65894910114,19.467,10.173715066454095,19.5560779096693,22.459367832589727
17,Urban Major Collector,All,75,20311.065000000002,22835.423086632243,270.8142,304.47230782176325,1.0259438349346077,33.658107821763224,12.428487066691194,52.679467858916524,51.68097060213432,0.7685969965181564,1526465.1275811181,20352.86836774824,14.878566459077332,4.181310236782724,8.842505875709355,9.717229218258655
18,Urban Minor Collector,All,1,200.7,456.3834631007088,200.7,456.3834631007088,,255.68346310070882,127.39584608904278,127.39584608904278,127.39584608904278,0.0,65374.03330317153,65374.03330317153,0.45199999999999996,0.20628532532152036,0.30942798798228055,0.3206685240218537
19,Urban Local Road or Street,All,16,1841.105,2962.5118417020476,115.0690625,185.15699010637798,1.876257777181135,70.08792760637797,60.909445235445425,99.89840632278585,154.6096944295012,0.6181526138085556,211423.98397694863,13213.99899855929,3.142,0.5825288273289105,1.228053302824732,1.2772215111801342
20,Urban Ramps,All,15,5649.6650817,8547.1337493044,376.64433878,569.8089166202933,2.8580849689672627,193.1645778402933,51.285671375276344,59.40307329253294,56.33434788200942,0.8864964378557184,750882.4879949628,50058.83253299752,1.6639999999999997,0.9941606268691132,1.7042753603470517,1.787648440619988
21,Rural Interstates,All,4,7317.211,8069.525706290978,1829.30275,2017.3814265727444,0.6349217500300088,188.07867657274437,10.281440651239624,11.104287138729907,10.897293049869218,0.9789470511488039,165048.86139005254,41262.215347513134,2.372,4.528178240858661,3.8812956350217096,4.0025793995010455
22,Rural Non-Interstate Freeway,All,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Rural Principal Arterial,All,2,3363.8347670000003,3884.2428289271156,1681.9173835000001,1942.1214144635578,0.5481799927007917,260.20403096355767,15.470678495639536,19.12375560993906,14.210020154264885,1.0,206912.00269414036,103456.00134707018,0.4389999999999999,0.9596551177518404,1.1730994853403394,1.2951009929114246
24,Rural Minor Arterial,All,18,4446.8075183,4744.990534070876,247.04486212777778,263.61058522615974,0.321532606095501,16.565723098381966,6.705552568753185,21.76423527071687,22.844879423580025,0.9424760481907695,52036.84787462671,2890.935993034817,5.5729999999999995,1.4636632371095675,1.904667282898384,1.9429622159184807
25,Rural Major Collector,All,68,18765.408725,20975.045261164218,275.9618930147059,308.45654795829734,0.5638007738337367,32.494654943591456,11.775051471276809,51.47729596306155,41.95556850228424,0.9422610576113786,1372266.9231571136,20180.395928781083,36.09444020559534,8.36737632801405,12.140468245979484,13.491614212057332
26,Rural Minor Collector,All,24,2741.315,3904.6561445517727,114.22145833333333,162.69400602299052,1.6977022335804517,48.47254768965719,42.43733918034858,94.39364612599996,87.9167713369705,0.5507320221041041,278992.2676759135,11624.67781982973,15.459188096313333,2.650931092128715,3.782423357139543,3.836912179764723
27,Rural Local Road or Street,All,9,791.615,620.72272009669,87.95722222222223,68.96919112185444,-0.5030437763642488,-18.98803110036779,-21.587802139084037,52.65692493896962,56.12205770412076,0.8443596203372548,19306.18695593005,2145.131883992228,4.97,0.33627708595908434,0.5767297861247676,0.5839694611037611
28,Rural Ramps,All,11,1810.14652,2624.619092624923,164.55877454545455,238.6017356931748,1.4388556320813148,74.04296114772023,44.99484233049392,80.72178970632928,61.43273431134663,0.7142878543804837,194095.8897340248,17645.080884911345,1.788,0.4379686336475133,0.7508033719671657,0.7650593774248314
29,AADT < 5k,FSUTMS RMSE,275,54184.52682,66993.02157650796,197.03464298181817,244.50007874637942,3.723873419167102,47.46543576456125,24.089893556911836,66.45084006975038,62.48029584193,0.7087997183508297,4697174.523952285,17142.972715154323,89.33419476098601,17.519799155444836,29.5850015381032,30.746147997265624
30,AADT 5k to 10k,FSUTMS RMSE,71,43977.92515500001,47204.68204933344,619.407396549296,664.8546767511751,1.4970636641111432,45.44728020187915,7.337219486732783,35.27975475236568,31.025060913044882,0.340547184076908,3390488.204964058,47753.35499949377,11.414000000000001,8.03308501442395,15.254434877510366,17.397442650533403
31,AADT 10k to 15k,FSUTMS RMSE,20,21613.36838,21129.131184544007,1080.668419,1056.4565592272004,-0.32149645117460246,-24.2118597727997,-2.240452237440622,26.06278028182804,21.14819913065335,0.4432966648905372,1586559.6365844575,79327.98182922287,4.599,5.000168454757295,8.18900876420636,10.730775073132783
32,AADT 15k to 20k,FSUTMS RMSE,5,7240.686,8498.933376133877,1448.1372,1699.7866752267753,2.8652223993035966,251.6494752267754,17.377460866744904,21.250333617494363,18.367491596267303,-0.016899990746393343,473501.031432853,94700.20628657061,0.887,1.5170841553958625,2.2926026855226644,2.7036463712131003
33,AADT 20k to 30k,FSUTMS RMSE,7,13105.093166999999,12872.6088439839,1872.1561667142855,1838.9441205691287,-0.20478916324295962,-33.21204614515682,-1.7739997728632535,21.126551825741455,17.19504160189516,0.01570988950004248,1095063.8044939253,156437.68635627505,2.481,4.522558976363595,4.758812269674623,5.094959292980085
34,AADT 30k to 50k,FSUTMS RMSE,5,12039.364300000001,14264.593232588653,2407.8728600000004,2852.918646517731,1.867463364620168,445.04578651773045,18.482943759652258,21.160062048650474,18.17087116618255,0.8469902703489302,1297988.9085829435,259597.7817165887,3.4050000000000002,10.07473841362798,9.935890605614388,10.825409473241368
35,AADT 50k to 60k,FSUTMS RMSE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,AADT > 60k,FSUTMS RMSE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,AADT < 10k,FSUTMS Pct Error,346,98162.451975,114197.70362584139,283.7065085982659,331.0078365966417,2.69086093287746,47.301327998375825,16.672627015884032,53.967545865636424,56.006899668159434,0.8112042877189269,8087662.728916342,23442.50066352563,100.748194760986,25.55288416986879,44.83943641561357,48.14359064779902
38,AADT 10k to 30k,FSUTMS Pct Error,32,41959.147547,42500.673404661786,1311.22336084375,1328.1460438956808,0.1624359360426371,16.92268305193079,1.2906026202157754,23.947301463528454,19.848960368989676,0.7237804804302467,3155124.4725112356,98597.63976597611,7.966999999999999,11.039811586516754,15.240423719403648,18.52938073732597
39,AADT 30k to 50k,FSUTMS Pct Error,5,12039.364300000001,14264.593232588653,2407.8728600000004,2852.918646517731,1.867463364620168,445.04578651773045,18.482943759652258,21.160062048650474,18.17087116618255,0.8469902703489302,1297988.9085829435,259597.7817165887,3.4050000000000002,10.07473841362798,9.935890605614388,10.825409473241368
40,AADT 50k to 65k,FSUTMS Pct Error,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,AADT 65k to 75k,FSUTMS Pct Error,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,AADT > 75k,FSUTMS Pct Error,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Freeways,FSUTMS Pct Error,9,17732.5642,20611.715783817563,1970.2849111111111,2290.1906426463956,0.9682216304675417,319.90573153528453,16.23652141531545,20.2177525288509,14.880919413576049,0.9740291286041559,1428125.3395197513,158680.59327997235,5.374999999999999,13.365058118736085,13.043492416039873,14.058639023916868
44,Arterials,FSUTMS Pct Error,154,82282.22929530001,87424.75912009728,534.3001902292209,567.6932410395927,0.693770483910288,33.39305081037185,6.249866913961952,39.02043440822088,41.87269130568577,0.8805381818124878,6693843.870111588,43466.51863708824,28.297,15.545537895225808,27.637571036517343,31.65941891001821
