,Statistics
Population,"128,635"
Total Employment,"59,572"
Housing Units (HU),"49,919"
Person Trips (PrT),"596,478"
Vehicle Trips (PrT),"336,297"
Daily VMT,"3,626,456"
Daily Per Capita VMT,28.19
Daily VMT Per HU,72.65
AM VMT,"423,676"
AM VMT Per HU,8.49
PM VMT,"860,756"
PM VMT Per HU,17.24
OP VMT,"2,342,024"
OP VMT Per HU,46.92
PM Peak Hr VMT,"295,795"
PM Peak Hr VMT Per HU,5.93
Daily VHT,"78,767"
Daily Per Capita VHT,0.61
Daily VHT Per HU,1.58
AM VHT,"9,249"
AM VHT Per HU,0.19
PM VHT,"19,255"
PM VHT Per HU,0.39
OP VHT,"50,263"
OP VHT Per HU,1.01
PM Peak Hr VHT,"6,692"
PM Peak Hr VHT Per HU,0.13
Daily VHD,"3,806"
Daily Per Capita VHD,0.03
Daily VHD Per HU,0.08
AM VHD,453
AM VHD Per HU,0.01
PM VHD,"1,294"
PM VHD Per HU,0.03
OP VHD,"2,059"
OP VHD Per HU,0.04
PM Peak Hr VHD,483
PM Peak Hr VHD Per HU,0.01
