Volume Corridor,Route,From/To,Node 1,To/From,Node 2,Length (miles),Number of Lanes,Avg PM Peak Hour Volume (both directions),PM Peak Hour LOS,Avg Daily Model Volume (both directions),Daily LOS,PM Peak Hour LOS Table,Daily LOS Table,LOS Pct Adjustment,LOS PM Peak Additive Adjustment,LOS Daily Additive Adjustment
1,A SR-20 Spur,Anacortes Ferry Terminal,6847,Sharpes Corner,622,,,,,,,4b,1b,0,0,0
2,B SR-20 Rural,Deception Pass,6982,Gibraltar Rd,650,,,,,,,5a,2a,0,0,0
3,C SR-20 Urban,Gibraltar Rd,650,Swinomish Channel,679,,,,,,,4a,1a,0,0,0
4,D SR-20 Rural,Swinomish Channel,679,Pulver Rd,605,,,,,,,5a,2a,0,0,0
5,E SR-536 Rural,SR-20,700,Valley View Dr,7066,,,,,,,5a,2a,0,0,0
6,F SR-536 Urban,Valley View Dr,7066,I-5 at Kincaid,812,,,,,,,4b,1b,0,0,0
7,G SR-9 Rural South,SR-9 South External,1361,SR-538 College Way,6432,,,,,,,5a,2a,-0.2,0,0
8,H SR-538 College Way Urban,I-5,734,SR-9,6432,,,,,,,4b,1b,0,0,0
9,I I-5 Rural South,I-5 South External,1087/1088,Old Highway 99,1867/1868,,,,,,,5c,2c,0,0,0
10,J I-5 Urban Mount Vernon,Old Highway 99,1867/1868,Skagit River,687/688,,,,,,,4c,1c,0,0,0
11,K I-5 Urban Burlington,Skagit River,687/688,Cook Rd,402/403,,,,,,,4c,1c,0,0,0
12,L I-5 Rural North,Cook Rd,402/403,Cook Rd,402/403,,,,,,,5c,2c,0,0,0
13,M SR-11 Rural,Burlington Blvd/Josh Wilson Rd,6723,SR-11 External,192,,,,,,,6a,3a,-0.2,0,0
14,N SR-20 Burlington Sedro-Woolley,Pulver Rd,605,Helmick Rd,317,,,,,,,4b,1b,0,0,0
15,O SR-9 Rural Middle,SR-538 College Way,6432,Skagit River,6763,,,,,,,5a,2a,-0.2,0,0
16,P SR-9 Urban,Skagit River,6763,Kalloch Rd,289,,,,,,,4b,1b,0,0,0
17,Q SR-9 Rural North,Kalloch Rd,289,SR-9 North External,190,,,,,,,5a,2a,-0.2,0,0
18,R SR-20 Rural East,Helmick Rd,317,SR-20 East External,317,,,,,,,6a,3a,0,0,0
19,S SR-534 Rural,I-5,954,SR-9,987,,,,,,,6c,3c,0,0,0
